vi,ch
Quân bất kiến:,君不見:
"Tích nhật Tây Kinh toàn thịnh thì,",昔日西京全盛時，
Phần Âm Hậu Thổ thân tế tự.,汾陰后土親祭祀。
"Trai cung túc tẩm thiết trữ cung,",齋宮宿寢設儲供，
Chàng chung minh cổ thụ vũ kỳ.,撞鐘鳴鼓樹羽旂。
"Hán gia ngũ diệp tài thả hùng,",漢家五葉才且雄，
Tân diên vạn linh triều cửu nhung.,賓延萬靈朝九戎。
"Bách Lương phú thi cao yến bãi,",柏梁賦詩高宴罷，
Chiếu thư pháp giá hạnh Hà Đông.,詔書法駕幸河東。
"Hà Đông thái thú thân tảo trừ,",河東太守親掃除，
Phụng nghinh chí tôn đạo loan dư.,奉迎至尊導鸞輿。
"Ngũ doanh giáp đạo liệt dung vệ,",五營夾道列容衛，
Tam Hà túng quan không lý lư.,三河縱觀空里閭。
"Hồi tinh trú tất giáng linh trường,",回旌駐蹕降靈場，
Phần hương điện tử yêu bách tường.,焚香奠醑邀百祥。
"Kim đỉnh phát sắc chính hỗn hoàng,",金鼎發色正焜煌，
Linh chi vĩ diệp sư cảnh quang.,靈祗煒燁攄景光。
"Mai ngọc trần sinh lễ thần tất,",埋玉陳牲禮神畢，
Cử huy thượng mã thừa dư xuất.,舉麾上馬乘輿出。
"Bỉ Phần chi khúc gia khả du,",彼汾之曲嘉可遊，
"Mộc lan vi tiếp, quế vi chu.",木蘭為楫桂為舟。
"Trạo ca vi ngâm thái nghịch phù,",櫂歌微吟彩鷁浮，
Tiêu cổ ai minh bạch vân thu.,簫鼓哀鳴白雲秋。
"Hoan ngu yến hiệp tứ quần hậu,",歡娛宴洽賜群後，
Gia gia phục trừ hộ ngưu tửu.,家家復除戶牛酒。
"Thanh minh động thiên lạc vô hữu,",聲明動天樂無有，
Thiên thu vạn tuế Nam sơn thọ.,千秋萬歲南山壽。
"Tự tòng thiên tử hướng Tần quan,",自從天子向秦關，
Ngọc liễn kim xa bất phục hoàn.,玉輦金車不復還。
"Châu liêm vũ phiến trường tịch mịch,",珠簾羽扇長寂寞，
Đỉnh Hồ long nhiêm an khả phan.,鼎湖龍髯安可攀。
"Thiên linh nhân sự nhất triêu không,",千齡人事一朝空，
Tứ hải vi gia thử lộ cùng.,四海為家此路窮。
"Hào hùng ý khí kim hà tại,",豪雄意氣今何在，
Đàn trường cung quán tận hao bồng.,壇場宮館盡蒿蓬。
"Lộ phùng cố lão trường thán tức,",路逢故老長嘆息，
Thế sự hồi hoàn bất khả trắc.,世事回環不可測。
"Tích thời thanh lâu đối ca vũ,",昔時青樓對歌舞，
Kim nhật hoàng ai tụ kinh cức.,今日黃埃聚荊棘。
"Sơn xuyên mãn mục lệ triêm y,",山川滿目淚沾衣，
Phú quý vinh hoa năng kỷ thì?,富貴榮華能幾時？
"Bất kiến chích kim Phần thuỷ thượng,",不見只今汾水上，
Duy hữu niên niên thu nhạn phi.,唯有年年秋雁飛。
