vi,ch
"An Nam bản đồ sổ thiên lý,",安南版圖數千里，
Thiểu thị cư dân đa sơn thuỷ.,少是居民多山水。
"Đông lân Hợp Phố, bắc Nghi Ung,",東鄰合浦北宜邕，
"Nam để Chiêm Thành, tây Đại Lý.",南抵占城西大理。
"Cổ lai Ngũ Lĩnh hiệu man di,",古來五嶺號蠻夷，
Triệu tự Đào Đường hữu Giao Chỉ.,肇自陶唐有交趾。
"Kỳ tại Thành Chu vi Việt Thường,",其在成周為越裳，
Trùng dịch tằng lai cống bạch trĩ.,重譯曾來貢白雉。
"Tần danh Tượng Quận, Hán Giao Châu,",秦名象郡漢交州，
"Cửu Chân, Nhật Nam tiếp kỳ địa.",九真日南接其地。
"Hán sơ Triệu Đà tổng hùng cứ,",漢初趙佗總雄據，
Nãi mệnh vi vương miễn tru tỷ.,乃命為王免誅徙。
"Kế nhân Cao Hậu cấm quan thị,",繼因高後禁關市，
Đà phục hỗ cường tuỳ tiếm nguỵ.,佗復怙強隨僭偽。
"Tức xưng đế dữ Trung Quốc mâu,",即稱帝與中國侔，
Tường hại biên dân nghiêm vũ bị.,戕害邊民嚴武備。
"Hán gia tự thị khởi binh qua,",漢家自是起兵戈，
Mỗi chiến vô công bãi lực sĩ.,每戰無功罷力士。
"Hán văn tu đức bất sự vũ,",漢文修德不事武，
Thích tội bất tru phong Triệu Thị.,釋罪不誅封趙氏。
"Đà nhân cảm đức xưng phiên thần,",佗因感德稱藩臣，
Toại sử Anh Tề lai nhập thị.,遂使嬰齊來入侍。
"Phương vật trân kỳ tuế cống thâu,",方物珍奇歲貢輸，
Truyền tập tử tôn cấp ngũ thế.,傳襲子孫給五世。
"Lữ Gia mưu bạn ám hưng binh,",呂嘉謀叛暗興兵，
Cố sát kỳ vương tịnh Hán sứ.,故殺其王並漢使。
"Vũ hoàng nhất nộ phấn thiên qua,",武皇一怒奮天戈，
Thiên lý tinh binh tảo hung uế.,千里精兵掃凶穢。
"Lộ hầu Bác Đức dũng hữu mưu,",路侯博德勇有謀，
Phá Việt như đồng phá trúc thế.,破越如同破竹勢。
"Phân vi cửu quận trí quan thủ,",分為九郡置官守，
Nam Việt tòng tư quốc nãi phế.,南越從茲國乃廢。
"Trung Hoa văn hoá biến miễn thu,",中華聞化遍免收，
Tiệm giáo viễn nhân thông lễ nghĩa.,漸教遠人通禮義。
"Quang Vũ sơ trừ tân thất nạn,",光武初除新室難，
Vị hoàng tuyển trạc nam phương sử.,未遑選擢南方使。
"Mê Linh nhị nữ sính gian hùng,",糜泠二女逞奸雄，
"Tỉ danh Trưng Trắc, muội Trưng Nhị.",姊名徵側妹徵貳。
"Chiêu hô yếu đảng cứ Nam Giao,",招呼要黨據南交，
Uy phục bách man vô dữ tỉ.,威服百蠻無與比。
"Xâm biên khấu lược lục thập thành,",侵邊寇略六十城，
"Nhất lập vi vương, nhất vi suý.",壹立為王壹為帥。
"Đường đường Hán tướng Mã Phục Ba,",堂堂漢將馬伏波，
Khổ chiến tam niên thường thiết xỉ.,苦戰三年常切齒。
"Phân quân khu trục đáo Man Khê,",分軍驅逐到璽溪，
Tặc tù thụ thủ tất bình trị.,賊酋授首悉平治。
"Quảng khai Hán giới cực thiên nam,",廣開漢界極天南，
Đồng trụ cao tiêu truyền Hán sử.,銅柱高標傳漢史。
"Mệnh quan khiển tướng trấn kỳ dân,",命官遣將鎮其民，
Đức chính thanh tân đa huệ thi.,德政清新多惠施。
"Chí ư Sĩ Nhiếp thiện phủ tuy,",至於士燮善撫綏，
Quý trọng nhất phương nhân sở tư.,貴重一方人所思。
"Quốc chính phân phân [?] [?] [?],",國政紛紛◆◆◆，
Ngô Thục tại tranh vi bích luỹ.,吳蜀在爭為壁壘。
"Tấn hưng Giao giới nhập Hán chế,",晉興交界入漢制，
"Tống, Tề, Lương, Trần thừa nhất quỹ.",宋齊梁陳承一軌。
"Du du duyệt thế đãi Tuỳ, Đường,",悠悠閱世逮隋唐，
Thuỷ hiệu An Nam kim nhưng thị.,始號安南今仍是。
"Trương Chu thuỷ tác đô hộ thì,",張舟始作都護時，
Tu trúc La Thành chế quân khí.,修築羅城製軍器。
"Cao Biền uy tín hành tại bỉ,",高駢威信行在彼，
Thử bang nhân nhân đa mạn dị.,此邦人人多慢易。
"Hàm Thông mạt tuế Trung Quốc loạn,",咸通末歲中國亂，
Chuyển vận hà phương tứ kiêu tứ.,轉運遐方肆驕恣。
"Ngô Quyền, Khúc Hạo, Kiều dữ Dương,",吳權曲顥矯與楊，
Thoán đoạt tương tranh dân lực quỹ.,篡奪相爭民力匱。
"Tống sơ Đinh thị thuỷ phong vương,",宋初丁氏始封王，
Đinh tuyệt chuyển phong Lê dữ Lý.,丁絕轉封黎與李。
"Lý truyền cửu thế nhất bách niên,",李傳九世一百年，
Tự hữu Trần vương lai tập vị.,嗣有陳王來襲位。
"Thái bình nhật cửu trọng nho phong,",泰平日久重儒風，
Lễ nhạc y quan lược sơ tự.,禮樂衣冠略初似。
"Hoàng Nguyên nhất thống tự cổ vô,",皇元一統自古無，
Đức phục vạn bang ân trạch bị.,德服萬邦恩澤被。
"Trần vương nạp khoản tam thập niên,",陳王納款三十年，
Hậu tự bất đạo vi thượng chỉ.,後嗣不道違上旨。
"Giáp Thân giả đạo chinh Chiêm Thành,",甲申假道征占城，
Linh trợ quân khí cung hướng quỹ.,令助軍器供餉饋。
"Cư nhiên nghịch mệnh tương kháng hành,",居然逆命相抗衡，
Cự hãn vương sư tâm hoài dị.,拒捍王師心懷異。
"Trần vương tử điệt nhị tam nhân,",陳王子侄二三人，
Mộ nghĩa lai quy mộc ân tứ.,慕義來歸沐恩賜。
"Hưng sư phạt tội xuất hữu danh,",興師伐罪出有名，
Thiên lý ưng dương diệu kỳ xí.,千里鷹揚耀旗幟。
"Tiến binh sổ đạo hội ư Giao,",進兵數道會於交，
Thế nhược lôi điện trì vạn kỵ.,勢若雷電馳萬騎。
"Kỳ vương đào hải nặc sơn lâm,",其王逃海匿山林，
Bàng cập vô cô tao tội lệ.,旁及無辜遭罪戾。
"Sư hoàn phục tội tiến biểu chương,",師還伏罪進表章，
Tê tượng tỉ châu thường chủng chí.,犀象璽珠常踵至。
"Thánh tâm đãng đãng niệm tư dân,",聖心蕩蕩念斯民，
Bãi chiến hưu binh hợp thiên ý.,罷戰休兵合天意。
"Nam lục tòng thử tất an nhiên,",南陸從此悉安然，
Ức vạn sinh linh mông kỳ tí.,億萬生靈蒙其庇。
"Viễn nhân hoài đức tự tâm quy,",遠人懷德自心歸，
Thiên hạ vi gia đương thịnh tế.,天下為家當盛際。
"Tiểu thần cư Miện bái hoàng ân,",小臣居沔拜皇恩，
Thiết lộc tố xan tâm tự quý.,竊祿素餐心自愧。
"Thừa gian chuế tập cựu sở văn,",乘間綴緝舊所聞，
Tả tác An Nam phong thổ chí.,寫作安南風土誌。
