vi,cn
"Đối mẫu hiếu sự quân trung, vạn cổ anh linh hách trạc;",對母孝，事君忠，萬古英靈赫濯；
"Phúc chỉ tiền Vọng Doanh hậu, thiên thu hương hoả huân cao.",福址前，望瀛後，千秋香火勲高。
"Cồ Việt quốc đương Tống Khai Bảo,",瞿越國當宋開寶，
Hoa Lư đô thị Hán Trường An.,花閭都是漢長安。
"Mệnh vận nhất ư thiên Đế Tống hoàng bào Đế Việt long cổn,",命運一於天帝宋黃袍帝越龍袞，
Thanh linh trường thử địa Hoàng Đinh thượng miếu Hoàng Lê hạ từ.,聲靈長此地皇丁上廟皇黎下祠。
"Thượng đẳng cổn hoa phong, Đông Lâm nhật chiếu;",上等衮花封東林日照；
"Ức niên hương hoả tại, Lương Hội phùng hanh.",億年香火在良會逢亨。
"Hải nạp bách xuyên, hữu dung nãi đại;",海納百川，有容乃大；
"Bích lập thiên nhận, vô dục tắc cương.",壁立千仞，無欲則剛。
"Thuần tửu ẩm như hoa tiệm phóng,",醇酒飲如花漸放，
Cựu thư độc tự khách sơ quy.,舊書讀似客初歸。
"Định mệnh bất tuỳ long trảo khứ,",定命不隨龍爪去，
Linh thanh do đới Ác đào lai.,靈聲猶帶鵶淘來。
"Địa hữu Đông Lâm, nam tốn sơn lai trì án nội,",地有東林南巽山來坻案內；
"Thiên thành cảnh thú, tây kiều thuỷ tụ đáo đình tiền.",天成景趣西桥水聚到庭前。
"Hành canh tam thập nhị, do vị thành nhân, đoản thán trường hu, tâm huyết cửu hồng thiên địa phạn;",行庚三十二，猶未成人，短嘆長吁，心血久烘天地飯；
"Độc thư bách thiên dư, như hà thức tự, độc cư thâm niệm, nhiệt thành nga sí thánh hiền đăng.",讀書百篇餘，如何識字，獨居深念，熱誠俄熾聖賢燈。
"Uy danh khởi đãn truyền Nguyên sử,",威名豈但傳元史，
Ân tín do năng cảm Tống nhân.,恩信猶能感宋人。
"Lam Sơn dựng tú trụ quốc lưỡng toàn tài năng tướng hựu năng tướng,",藍山孕秀住國兩全才能將又能相，
Quang Thuận Hồng Đức thiên Nam nhất thịnh sử thị quân hữu thị thần.,光順洪德天南一盛史是君有是臣。
"Vi sở bất năng vi, đàm tiếu không lưu hoành hải khí;",爲所不能爲，談笑空留橫海氣；
"Cố bất thất vi cố, cầm thư khước ức thiếu niên du.",故不失爲故，琴書卻憶少年遊。
"Ngã bất nan xá sinh, nại hà tại Trung thiên dịch sơ khai, Dũ Lý thất niên tiền vị diễn;",我不難舍生，奈何在中天易初開，羑里七年前未演；
"Quân nãi năng tựu nghĩa, nan đắc giả vạn thế kinh độc thủ, Thú Dương thiên tải hậu do văn.",君乃能就義，難得者萬世經獨守，首陽千載後猶聞。
"Nhân giai uý tử, quân độc bất tham sinh; bát xích tu my, tu dữ hà sơn doanh nhất bão;",人皆畏死，君獨不貪生；八尺鬚眉，羞與河山營一飽；
"Thuỳ vi kỳ nan, quân nãi vi kỳ dị; nhất phần trách nhiệm, các tương tâm huyết cáo đồng bào.",誰為其難，君乃為其易；一分責任，各將心血告同胞。
"Văn vị táng thiên sinh Phạm lão,",文未葬天生范老，
Võ vô dụng địa tử Nhan Khanh.,武無用地死顏卿。
"Chế khổn thập dư niên, sự đồng thế dị;",制阃十餘年事同勢異；
"Cô thành thiên lý ngoại, can khổ tâm cam.",孤城千里外肝苦心甘。
"Nhất tử thành danh, tự cổ anh hùng phi sở nguyện;",一死成名自古英雄非所願；
"Bình sinh trung nghĩa, đương niên đại cục khả vô tàm.",平生忠義當年大局可無惭。
"Trinh tai tiết độc khổ! Như công diệc viết tận tâm yên, thị phi hữu triều đình định luận;",貞哉節獨苦！如公亦曰盡心蔫是非有朝廷定論；
"Quí hĩ chí phất quả! Ư ngã phương tri năng tử giả, cổ kim vi thiên hạ chí nan.",愧矣志弗果！於我方知能死者古今為天下至難。
"Tuy vân thành bại do thiên, xướng nghĩa tiên thanh tồn Nghệ Tĩnh;",雖云成敗由天唱義先聲存乂靜；
"Kham thán anh hùng vô địa, phù quân đại tiết hữu Hồng Lam.",堪嘆英雄無地扶君大節有鴻藍。
Lập cước sai cường ư bá trọng;,立腳差強於伯仲；
Đương đầu bất phụ thử giang sơn.,當頭不負此江山。
"Côn Lôn đảo diện tích nhược kỷ, thiên dung hứa đa nhân, kỳ tuyệt kỳ, tạo thiết đương sơ, ninh vấn hữu kỳ dữ vô kỳ, ba trung dũng khởi cô phong, cao cao cao, lưu cá anh hùng vạn cổ trạch;",崑崙島面積若幾，偏容許多人，奇絕奇，造設當初，寧問有期與無期，波中湧起孤峰，高高高，留個英雄萬古宅；
"Đại Việt quốc huyết cấu đắc lai, sở trị chỉ nhất tử, oán hà oán, lưu ly thử nhật, bất dĩ ca khứ dĩ khốc khứ, mộng lý kinh hô đồng chí, chiến chiến chiến, hoàn ngã sơn hà độc lập thiên.",大越國血購得來，所值只一死，怨何怨，流離此日，不以歌去以哭去，夢裡驚呼同志，戰戰戰，還我山河獨立天。
"Sương hải vị điền, Tinh vệ hàm thạch;",霜海未填，精衛含石；
"Chung Kỳ ký một, Bá Nha đoạn huyền.",鐘期既沒，伯牙斷弦。
"Táp dư niên sơn hải gian quan, nhân giai bi kỳ ngộ, thiên nhược giám kỳ thành, tam đảo minh tiên, tráng chí cẩn năng thông thượng quốc;",卅餘年山海艱關，人皆悲其遇，天若鑒其誠，三島鳴鞭，壯志僅能通上國；
"Chấp thế kỷ phong vân biến huyễn, nhân giai tranh dĩ trí, quân dục cạnh dĩ lực, cửu thu quy kiếm, hùng hồn do tự luyến thần kinh.",廿世紀風雲變幻，人皆爭以智，君欲競以力，九秋歸劍，雄魂猶自戀神京。
"Quân khởi kỳ sinh tác hý ư thời gia, đề binh thập nẫm, khứ quốc trấp dư niên, ký khốc ư Xiêm, ký khốc ư Hoa, ký khốc ư Nga, hốt hốt nhiên đại khốc ư Đông; thuỳ giao tứ nhập thu phong, hướng ngã thần kinh mai hiệp cốt;",君豈其生作戲於時耶，提兵十稔，去國廿餘年，既哭於暹，既哭於華，既哭於俄，忽忽然大哭於東；誰教思入秋風，向我神京埋俠骨；
"Ngã bất tri tử chi vi hà vật giả, độc thư ngũ châu, kết giao sổ thập bối, hoặc chiến dĩ thiệt, hoặc chiến dĩ bút, hoặc chiến dĩ não, đoan đoan đích trực chiến dĩ thiết, yếu đắc huyết lưu ôn đới, vị quân hoàng chủng thụ hồng kỳ.",我不知死之為何物也，讀書五洲，結交數十輩，或戰以舌，或戰以筆，或戰以腦，端端的直戰以鐵，要得血流溫帶，為君黃種樹紅旗。
Thuý sơn đồng ngã chẩm nhật thuyết sự dạ đàm tâm tâm sự bách niên do ký ức;,翆山同我枕日說事夜談心心事百年猶記憶；
Vân thuỷ tống quân quy địa minh lôi thiên thuỳ vũ vũ lôi nhất trận bội thê lương.,雲水送君歸地鳴雷天垂雨雨雷一陣倍凄涼。
"Tân học trung lãnh tụ, hốt thất thử nhân, lạc lạc tiền đồ, cử quốc thiếu niên tề nhất đỗng;",新學中領袖，忽失此人，落落前途，舉國少年齊一慟；
"Thọ khảo dữ lệnh danh, chung nan lưỡng đắc, dao dao nhất hoạn, ỷ lư từ mẫu tối thương tâm.",壽考與令名，終難兩得，遙遙一宦，倚閭慈母最傷心。
"Phả tri kiến thức ưu siêu, Tây tắc Pháp nhân tùng, Bắc tắc Thanh nhân tủng, thiên cổ tài danh ưng bất quý;",頗知見識優超，西則法人從，北則清人聳，天古才名應不愧；
"Khả hám anh hùng tâm sự, hạ nhi Lê công bi, đông nhi Bùi công khốc, nhất thời nghĩa khí hướng thuỳ luân?",可憾英雄心事，下而黎公悲，東而裴公哭，一時義氣向誰論。
Tha sinh hoặc vị vong gia quốc;,他生或未忘家國；
Tráng chí không lân phó hải sơn.,壯志空憐付海山。
Danh vi thân luỵ thường như thử;,名爲身累常如此；
Sự dữ tâm vi khả nại hà!,事與心爲可奈何。
Hiệp sơn siêu hải tri thuỳ kiện;,挾山超海知誰健；
Ái quốc tư gia chỉ tự bi.,愛國思家只自悲。
Thôn thanh do thảo đăng tiền sớ;,吞聲猶草燈前疏；
Tế chí nan thù hải ngoại du.,濟志難酬海外遊。
"Đức vọng huân danh vi thời giai phạm,",德望勳名爲時楷範，
Luân đàn can tý dữ hoá vãng lai.,輪彈肝臂與化往來。
"Giáng vân tại tiêu, cam lộ bố dã;",絳雲在霄，甘露布野；
"Thanh phong động trúc, minh nguyệt lâm trì.",清風動竹，明月臨池。
"Thiên môn xuân bảng cao thu bảng,",天門春榜高秋榜，
Thánh học tiên sinh uý hậu sinh.,聖學先生畏後生。
Vi các chính nhu tài tái mệnh xuất ư tam kỷ hậu;,微閣正需才再命出於三己後；
Tùng trúc kim khắc biểu song phong tặng tự thập niên tiền.,松竹今刻表雙封贈自十年前。
"Địa cựu niên tân nhân tiệm lão,",地舊年新人漸老，
Tài khinh ân trọng bệnh tăng đa.,才輕恩重病增多。
"Hữu chí phất thành, anh hùng dĩ hĩ;",有志弗成英雄已矣；
"Vị tiệp tiên tử, thiên ý vị hà?",未捷先死天意謂何。
"Công cầu tất thành, kích tiếp thệ ngôn thanh quốc tặc;",功求必成擊楫誓言清國賊；
"Sự nan dự liệu, cứ yên kim dĩ thiểu tư nhân.",事難預料據鞍今已少斯人。
Học hải vô nhai cần thị ngạn;,學海無涯勤是岸；
Thanh vân hữu lộ chí vi thê.,青雲有路志爲梯。
"Tiêu hồn dĩ hỹ biệt ly hận,",消魂已矣別離恨，
Cách diện tuy nhiên thiên địa gian.,隔面雖然天地間。
"Thành bại anh hùng mạc luận, thử cô trung, thử đại nghĩa, thệ dữ chư quân tử thuỷ chung. Châu chi anh, mặc chi linh, độc thư mỗi niệm cương thường trọng. Khả hận giả thuỳ điên đại hạ, nhất mộc nan chi, cung lãnh yên tiêu, thuỳ nhân bất tác thâm sơn oán! Huống đương nhật long phi vân ám, cộng ta nhân sự vô thường, khả liên La Việt giang sơn, bách niên văn hiến phiên binh mã.",成敗英雄莫論，此孤忠，此大義，誓與諸君子始終。硃之英，墨之靈，讀書每念綱常重。可恨者垂顛大廈，一木難支，宮冷煙消，誰人不作深山怨！況當日龍飛雲暗，共嗟人事無常，可憐羅越江山，百年文獻翻兵馬。
"Cổ kim thiên địa vô cùng, nhi lưu thuỷ, nhi cao phong, đồng thử đại trượng phu vũ trụ. Lam chi phong, Hồng chi tuyết, xung hàn vô nại bách tùng điêu. Vị hà tai hội quyết đồi ba, trung lưu để trụ, tinh di vật hoán, hà nhân bất khởi cố viên tình! Cập thử thời nhạn tán phong xuy, kham thán thiên tâm mạc trợ, độc thử tùng mai khí tiết, nhất tử tinh thần quán Đẩu Ngưu!",古今天地無窮，而流水，而高峰，同此大丈夫宇宙。藍之風，鴻之雪，沖寒無奈柏松凋。謂何哉潰決頹波，中流砥柱，星移物渙，何人不起故園情！及此時雁散風吹，堪嘆天心莫助，獨此松梅氣節，一死精神貫斗牛。
"Chung bất huyên hề đại lão tố vi châu lý trọng,",終不諠兮大老素為州里重，
Tử vô hám hỹ cựu thần thượng hữu thánh vương tri.,死無憾矣舊臣上有聖王知。
"Bạch xã hội giáp thất nhất lão,",白社會甲失一老，
Thanh lê các hạ quy tản quan.,青黎閣下歸散官。
"Cúc tùng Bành Trạch dư tam kính,",菊松彭澤餘三徑，
Phong nhã Ngô Trung thiếu nhất bình.,風雅吳中少一評。
"Thế lộ điệt thăng trầm trấp tải thanh lê hoàn tự tích,",世路迭升沈廿載青黎還似昔，
Thân sinh hốt tụ tán nhất triêu bạch xã bán thành không.,親生忽聚散一朝白社半成空。
"Điếu danh thị lợi, giai như thuỷ thượng phù âu.",釣名嗜利，皆如水上浮鷗。
"Thực phúc chủng duyên, tận thị hung trung hoài bảo.",植福種緣，盡是胸中懷寶。
"Thần toàn hình toàn tĩnh như xử nữ,",神全形全靜如處女，
Tạc thị kim thị tri giả kỳ thiên.,昨是今是知者其天。
Thiên niên cố quốc quyên đề thảm;,千年故國鵑啼慘；
Vạn lý cô thần hạc khiếu ai.,萬里孤臣鶴叫哀。
Nhất giang lưỡng quốc nan phân thuyết;,一江兩國難分說；
Tứ nguyệt tam vương triệu bất tường.,四月三王兆不祥。
Lập ấp khai cơ Thần phúc đại,立邑開基神福大
Phù dân hộ quốc Thánh ân thâm,扶民護國聖恩深
Thần thánh công huân thiên cổ ký,神聖功勛千古記
Hương thôn phúc lộc vạn niên hưng,鄉村福祿萬年興
Thăng Long thiên tải tôn thần tích,昇龍千載尊神迹
Đồng Cổ vạn niên ký thánh ân,銅鼓萬年記聖恩
Kinh Bắc nghệ nhân trì quốc bảo,京北藝人持國寶
Đông Hồ dân hoạ hiển hương danh,東湖民畫顯鄉名
Bình lỗ vong thân công đại như sơn thiên tải sự,平虜忘身功大如山千載事
Vi dân tạo phúc ân thâm tự hải vạn niên sùng,爲民造福恩深似海萬年崇
"Nhất đại công danh thiên hạ hữu,",一代功名天下有，
Lưỡng triều trung hiếu thế gian vô.,兩朝忠孝世間無。
"Thiên hạ anh hùng nguyên thiểu đắc,",天下英雄原少得，
Nhân gian hào kiệt tối vi nan.,人間豪傑最爲難。
"Bình cư vô dĩ dị nhân,",平居無以異人，
Đắc ý mỗi lưu dư địa.,得意每留餘地。
"Xã tắc lưỡng hồi lao thạch mã,",社稷兩回勞石馬，
Sơn hà thiên cổ điện kim âu.,山河千古奠金甌。
"Học hải trước tiên tiên, thập niên dư nghị lực tiến hành nghĩ dục Trãi, Thường phù tổ quốc;",學海著先鞭，十年餘毅力進行擬育廌常扶祖國；
"Hoàng thiên thiên sắc mệnh, cửu tuyền hạ linh hồn phi sảng trùng đề Bí, Lợi điện tông bang.",黃天偏嗇命，九泉下靈魂丕爽重提賁利奠宗邦。
"Bạch thủ phân như thành để sự,",白首紛如成底事，
Đan phương tần thí cánh kham si.,丹方頻試更堪癡。
"Hồng phấn mạc xi vô dụng khách,",紅粉莫嗤無用客，
Bạch đầu do tác quật cường nam.,白頭猶作倔強男。
"Sổ hành bạch phát sinh phù thế,",數莖白髮生浮世，
Nhất trản hàn đăng cộng cố nhân.,一盞寒燈共故人。
"Y đới quan chiêm thiên vũ lộ,",衣帶觀覘天雨露，
Phát phu cộng thụ nhật quang hoa.,髮膚共受日光華。
"Điên chi đảo chi quán quần anh chi thủ,",顛之倒之冠群英之首，
Trí hĩ tận hĩ cận thiên tử chi quang.,致矣盡矣近天子之光。
"Ái quốc hà cô, duy hữu tinh thần lưu bất tử;",愛國何辜，惟有精神留不死；
"Xuất sư vị tiệp, thả tương tâm sự thác lai sinh.",出師未捷，且將心事託來生。
"Hữu chí nan thân, không uổng bách niên chiêu vật nghị;",有志難伸，空枉百年昭物議；
"Tuy công bất tựu, diệc quyên nhất tử báo quân ân.",雖功不就，亦捐一死報君恩。
"Uý đồ chung bảo nhàn thân thử nhật huân danh giai quốc giả,",畏途終保閒身此日勳名皆國假，
Nhàn đình di ngu vãn huống đương niên oanh liệt tự thiên thân.,閑庭怡娛晚況當年轟烈自天申。
"Nhất bệnh lưỡng trần tình chỉ xích cố viên do tại mộng,",一病倆陳情咫尺故園猶在夢，
Thập niên cửu chế địch thác bàn thử địa thục phân ưu.,十年九制敵錯槃此地孰分憂。
"Ấp lão thọ nhi khang mộ tuế thành quan vô biệt hám,",邑老壽而康暮歲成鰥無別憾，
Trưởng lang bệnh vị dũ nhất triêu thất thị tối kham liên.,長郎病未愈一朝失恃最堪憐。
"Lam chướng cửu ư biên Kinh để trùng phùng sơ tái nẫm,",嵐瘴久於邊京邸重逢初再稔，
Thanh bần kiêm dĩ bệnh sài phi nhất phỏng tức thiên thu.,清貧兼以病柴扉一訪即千秋。
Ngã hạnh trùng lai Ô viện cựu liêu tương biến phỏng,我幸重來烏院舊僚將遍訪
Quân hà sậu khứ Hãn giang nghi ngục đãi thuỳ minh,君何驟去捍江疑獄待誰明
"Khứ đông táng tiên khảo kim đông táng tiên sinh cách tuế na kham trường dục đoạn,",去冬喪先考今冬塟先生隔歲那堪腸欲斷，
Xuất môn kiến lão di nhập môn kiến lão mẫu thương tâm bất cấm lệ như lưu.,出門見老姨入門見老母傷心不禁淚如流。
"Tiên đại phu thông đức môn cao uất uất chỉnh khan hoè ấm mậu,",先大夫通德門髙蔚蔚整看槐蔭茂，
Hiền thái thú tân trừ mệnh hạ thông thông dĩ đới bạch vân quy.,賢太守新除命下悤悤已帶白雲歸。
"Tâm sự như bạch nhật thanh thiên lỗi lỗi lạc lạc,",心事如白日青天磊磊落落，
Thần khí tại càn nhai bảng lĩnh thương thương thê thê.,神氣在乾涯磅嶺傷傷悽悽。
"Đế vị phi khuất phỉ phi xuất chinh quần nghị định hĩ,",帝謂非屈匪非出征群議定矣，
Tử tố hữu kỳ tài hữu anh khí tạo vật đố chi.,子素有奇才有英氣造物妒之。
"Ông hà bệnh tai trần mộng bách niên chung hoá hạc,",翁何病哉塵夢百年終化鶴，
Khách hữu điếu giả thù lao thiên lý đãn bằng phong.,客有吊者酧醪千里但憑風。
"Khương địch kỷ hồi khách mộng ám thương tinh cảnh ngoại,",羌笛紀回客夢暗傷星景外，
Sinh ca hà xứ thu phong dao độ mã lương gian.,笙歌何處秋風遙渡馬涼間。
"Kỷ độ phú quy lai lộc động đào viên tự hữu chân nhạc,",幾度賦歸來鹿洞桃園自有真樂，
Kim triêu thừa hoá khứ Hồ già Khương địch cái bất nhẫn văn.,今朝乘化去胡笳羌笛蓋不忍聞。
Ngộ diệc thậm nan tai khảng khái tiên dĩ phò mã tử;,遇亦甚難哉忼慨先已駙馬死；
Thần đương bất một hĩ thê thương trường tại Thăng Long gian.,神當不沒矣悽傷長在昇龍間。
"Khương địch kỷ hồi phương thán thế,",羌笛紀回方歎世，
Bồn ca hà xứ hựu kinh nhân.,盆歌何處又驚人。
"Văn như Siêu, Quát vô Tiền Hán;",文如超适無前暵；
"Thi đáo Tùng, Tuy bất Thịnh Đường.",詩到從綏不盛唐。
"Tiên ông hồ bất bách niên thọ,",仙翁胡不百年壽，
Điếu khách tân tòng vạn lý lai.,弔客新從萬里來。
"Vân bách mẫu hà sậu tiên khứ gia vãng độ trần ai bất nhẫn kiến,",雲百母何驟仙去耶往度塵埃不忍見，
Hiền nhị lang năng đại huynh quyển phủ cửu nguyên vân giá […] cấp tòng.,賢二郎能大兄卷府九原雲駕【…】急從。
"Sô thúc lai tòng thiên lý ngoại,",芻束來從千里外，
Đào diên tài cách lưỡng thu gian.,桃筵纔隔兩秋間。
"Y cố châu trượng lũ điển hình ngô văn chấp vô phục tồn giả,",噫故州杖屨典型吾文執無復存者，
Y tha nhật phủ chung bi cảm ngô song khế kỳ tương nhược hà?,噫他日釜鐘悲感吾雙契其將若何?
Thiên địa bất bình nan bế khẩu;,天地不平難閉口；
Phong vân vị chí thả mai đầu.,風雲未至且埋頭。
"Ý nhất nhung y, năng đảm thế gian nan sự;",衣一戎衣，能擔世間難事；
"Đề tam xích kiếm, tận thu thiên hạ nhân tâm.",提三尺劍，盡收天下人心。
"Ngô hà ái, ái duy san,",吾何愛，愛惟山，
Bất viễn yên hà viễn thế gian.,不遠煙霞遠世間。
"Cử mục hữu thiên vân sắc ngũ,",舉目有天雲色五，
Đài đầu mãn địa thảo hoa nhàn.,擡頭滿地草花閒。
Mai trào hiểu nhật tri xuân noãn,梅嘲曉日知春暖
Bách lập đông phong mậu tuế hàn.,百立東風茂歲寒。
"Lôi vũ bất mê điền hải chí,",雷雨不迷填海志，
Diệp chu ninh đãi phiếm tràng lan.,葉舟寧待泛長瀾。
"Phú gia nhất uyển đăng,",富家一碗燈，
Thái thương nhất lạp túc.,太倉一粒粟。
"Bần gia nhất uyển đăng,",貧家一碗燈，
Phụ tử tương tụ khốc.,父子相聚哭。
Phong lưu thái thủ tri bất tri?,風流太守知不知?
Do hận sinh ca vô diệu khúc.,猶恨笙歌無妙曲。
"Lục triều giai lệ vãn yên phù,",六朝佳麗晚煙浮，
Phách Nguyễn đàn tranh thướng tửu lâu.,擘阮彈箏上酒樓。
"Tiểu phiến hoạ loan thừa vụ khứ,",小扇畫鸞乘霧去，
Khinh phàm đái vũ nhập giang lưu.,輕帆帶雨入江流。
