vi,ch
Quân bất kiến:,君不見：
"Tích nhật Thục thiên tử,",昔日蜀天子，
Hoá tác đỗ quyên tự lão ô.,化作杜鵑似老烏。
"Ký sào sinh tử bất tự trác,",寄巢生子不自啄，
Quần điểu chí kim vi bô sồ.,群鳥至今為哺雛。
"Tuy đồng quân thần hữu cựu lễ,",雖同君臣有舊禮，
Cốt nhục mãn nhãn thân ky cô.,骨肉滿眼身羈孤。
"Nghiệp công thoán phục thâm thụ lý,",業工竄伏深樹裏，
Tứ nguyệt ngũ nguyệt thiên hào hô.,四月五月偏號呼。
"Kỳ thanh ai thống khẩu lưu huyết,",其聲哀痛口流血，
Sở tố hà sự thường khu khu.,所訴何事常區區。
"Nhĩ khởi thôi tàn thuỷ phát phẫn,",爾豈摧殘始發憤，
Tu đới vũ cách thương hình ngu.,羞帶羽翮傷形愚。
"Thương thiên biến hoá thuỳ liệu đắc,",蒼天變化誰料得，
Vạn sự phản phúc hà sở vô.,萬事反復何所無。
"Vạn sự phản phúc hà sở vô,",萬事反復何所無，
Khởi ức đương điện quần thần xu.,豈憶當殿群臣趨。
