vi,ch
Tam niên kinh để hoạn du nhân,三年京邸宦遊人，
Đoản đoản thanh sam dục thượng trần,短短青衫欲上塵。
Ngột ngột lê viên thư đố khách,兀兀藜園書蠹客，
Xuân phong thuỳ liệu đáo Hương tân,春風誰料到香津。
Điểu đề hoa tiếu bán song hư,鳥啼花笑半窗虛，
Đế lý phong quang lạc hữu dư,帝里風光樂有餘。
Cử mục Mai Sơn thiên lý viễn,舉目梅山千里遠，
Kim triêu xuân sắc cánh hà như,今朝春色更何如。
Cố lý yên hoa nhập mộng trường,故里煙花入夢長，
Hoành sơn Linh thuỷ lộ mang mang,橫山𤅷水路茫茫。
Cao đường mấn phát như kim nhật,高堂鬢髮如今日，
Thanh phúc hoàn bằng nhất triện hương,清福還憑一篆香。
Cương thường mạc trọng thị quân thân,綱常莫重是君親，
Vi tử vi thần thử nhất thân,為子為臣此一身。
Sơn hải vị năng quyên trích bổ,山海未能涓滴補，
Hồi đầu nhị thập bát niên xuân,回頭二十八年春。
