vi,ch
"Ngột toạ tư quy bất cử đầu,",兀坐思歸不舉頭，
Song phong vị ngã phiên thư diệp.,窗風為我翻書葉。
"Chúng trung văn ngữ nhận hương lý,",眾中聞語認鄉里，
Tiện giác thạch môn hàn điệp điệp.,便覺石門寒疊疊。
"Vân Am dĩ tác bạch tháp tân,",雲庵已作白塔新，
Đương nhãn phong chi tâm dục chiết.,當眼風枝心欲折。
"Đạo nhân tùng lâm thập niên cựu,",道人叢林十年舊，
Cổ tự thanh đăng dạ tương tiếp.,古寺清燈夜相接。
"Thất thanh phương dục vấn Giang Nam,",失聲方欲問江南，
Hốt ức khứ niên Hoài thượng biệt.,忽憶去年淮上別。
"Đào không củng nhiên văn túc âm,",逃空跫然聞足音，
Kiến tử linh nhân giải sầu kết.,見子令人解愁結。
"Địa lô hoả lãnh sương nguyệt khổ,",地爐火冷霜月苦，
Nhất thất huyên hoa chung noãn nhiệt.,一室喧嘩終暖熱。
"Tương Sơn phá hiểu lập binh đình,",湘山破曉立俜停，
Tú mạt duyên hoa dư tích tuyết.,秀抹鉛華餘積雪。
"Cố Ứng sơn diệc vị dư hỷ,",故應山亦為餘喜，
Cách ngạn dao khan viên tiếu yếp.,隔岸遙看圓笑靨。
"Thiên nhai giai xứ khả đồng du,",千崖佳處可同游，
Minh nguyệt ba tình đương lý tiếp.,明月波情當理楫。
