vi,ch
"Văn đạo nam hành thị tuấn mã,",聞道南行市駿馬，
Bất hạn thất số quân trung tu.,不限匹數軍中須。
"Tương Dương mạc phủ thiên hạ dị,",襄陽幕府天下異，
Chủ tướng kiệm tỉnh ưu gian ngu.,主將儉省憂艱虞。
"Chỉ thu tráng kiện thăng thiết giáp,",只收壯健勝鐵甲，
Khởi nhân cách đấu cầu long câu.,豈因格鬥求龍駒。
"Nhi kim tây bắc tự phản Hồ,",而今西北自反胡，
Kỳ lân đãng tận nhất thất vô.,騏驎蕩盡一匹無。
"Long môi chân chủng tại đế đô,",龍媒真種在帝都，
Tử tôn vĩnh lạc tây nam ngu.,子孫永落西南隅。
"Hướng phi nhung sự bị chinh phạt,",向非戎事備征伐，
Quân khẳng tân khổ việt giang hồ.,君肯辛苦越江湖。
"Giang hồ phàm mã đa tiều tuỵ,",江湖凡馬多憔悴，
Y quan vãng vãng thừa kiển lư.,衣冠往往乘蹇驢。
"Lương công phú quý ư thân sơ,",梁公富貴於身疏，
Hiệu lệnh minh bạch nhân an cư.,號令明白人安居。
"Bổng tiền thì tán sĩ tử tận,",俸錢時散士子盡，
Phủ khố bất vi kiêu hào hư.,府庫不為驕豪虛。
"Dĩ tư báo chủ thốn tâm xích,",以茲報主寸心赤，
Khí khước Tây Nhung hồi Bắc Địch.,氣卻西戎回北狄。
"La võng quần mã tịch mã đa,",羅網群馬籍馬多，
Khí tại khu trì xuất kim bạch.,氣在驅馳出金帛。
"Lưu hầu phụng sứ quang thôi trạch,",劉侯奉使光推擇，
Thao thao tài lược thương minh trách.,滔滔才略滄溟窄。
"Đỗ Lăng lão ông thu hệ thuyền,",杜陵老翁秋系船，
Phù bệnh tương thức Trường Sa dịch.,扶病相識長沙驛。
"Cưỡng sơ bạch phát đề hồ lư,",強梳白髮提胡盧，
Thủ bả cúc hoa lộ bàng trích.,手把菊花路旁摘。
"Cửu châu binh cách hạo mang mang,",九州兵革浩茫茫，
Tam thán tụ tán lâm trùng dương.,三歎聚散臨重陽。
"Đương bôi đối khách nhẫn lưu thế,",當杯對客忍流涕，
Quân bất giác lão phu thần nội thương.,君不覺老夫神內傷。
