vi,ch
"Thai châu địa khoát hải minh minh,",台州地闊海冥冥，
Vân thuỷ trường hoà đảo tự thanh.,雲水長和島嶼青。
"Loạn hậu cố nhân song biệt lệ,",亂後故人雙別淚，
Xuân thâm trục khách nhất phù bình.,春深逐客一浮萍。
"Tửu hàm lãn vũ thuỳ tương duệ,",酒酣懶舞誰相拽，
Thi bãi năng ngâm bất phục thính.,詩罷能吟不復聽。
"Đệ ngũ kiều đông lưu hận thuỷ,",第五橋東流恨水，
Hoàng pha ngạn bắc kết sầu đình.,皇陂岸北結愁亭。
"Giả Sinh đối phục thương Vương phó,",賈生對鵩傷王傅，
Tô Vũ khán dương hãm tặc đình.,蘇武看羊陷賊庭。
"Khả niệm thử ông hoài trực đạo,",可念此翁懷直道，
Dã triêm tân quốc dụng khinh hình.,也沾新國用輕刑。
"Nễ Hành thực khủng tao giang hạ,",禰衡實恐遭江夏，
Phương Sóc hư truyền thị tuế tinh.,方朔虛傳是歲星。
"Cùng hạng tiễu nhiên xa mã tuyệt,",窮巷悄然車馬絕，
Án đầu can tử độc thư huỳnh.,案頭干死讀書螢。
