vi,ch
"Thanh Phong điếm nam phùng phụ lão,",清風店南逢父老，
Cáo ngã Kỷ Tị niên gian sự.,告我己巳年間事。
"Điếm bắc do tồn cổ chiến trường,",店北猶存古戰場，
Di thốc thượng đái cần vương tự.,遺鏃尚帶勤王字。
"Ức tích mông trần thực thảm đát,",憶昔蒙塵實慘怛，
Phản phúc thế như phong vũ chí.,反覆勢如風雨至。
"Tử Kinh quan đầu trú xuy giốc,",紫荊關頭晝吹角，
Sát khí quân thanh mãn U Sóc.,殺氣軍聲滿幽朔。
"Hồ nhi ẩm mã Chương Nghĩa môn,",胡兒飲馬彰義門，
Phong hoả dạ chiếu Yên sơn vân.,烽火夜照燕山雲。
"Nội hữu Vu thượng thư,",內有于尚書，
Ngoại hữu Thạch tướng quân.,外有石將軍。
"Thạch gia quan quân nhược lôi điện,",石家官軍若雷電，
Thiên thanh dã khoáng lai hàm chiến.,天清野曠來酣戰。
"Triều đình ký thất Tử Kinh quan,",朝廷既失紫荊關，
Ngô dân khởi bảo Thanh Phong điếm?,吾民豈保清風店。
"Khiên da phụ tử vô xứ đào,",牽爺負子無處逃，
Khốc thanh chấn thiên phong nộ hào.,哭聲震天風怒號。
"Nhi nữ sàng đầu phục cổ giốc,",兒女床頭伏鼓角，
Dã nhân ốc thượng khán tinh mao.,野人屋上看旌旄。
"Tướng quân thử thời đĩnh qua xuất,",將軍此時挺戈出，
Sát Hồ bất dị thảo dữ hao.,殺胡不異草與蒿。
"Truy bắc quy lai huyết tẩy đao,",追北歸來血洗刀，
Bạch nhật bất động thương thiên cao.,白日不動蒼天高。
"Vạn lý yên trần nhất kiếm tảo,",萬里煙塵一劍掃，
Phụ tử anh hùng cổ lai thiểu.,父子英雄古來少。
"Thiên sinh Lý Thịnh vị xã tắc,",天生李晟為社稷，
Chu chi Phương Thúc kim nguyên lão.,周之方叔今元老。
"Thiền Vu thống khốc Đảo Mã quan,",單于痛哭倒馬關，
Kiệt Nô bán tử Phi Hồ đạo.,羯奴半死飛狐道。
"Xứ xứ hoan thanh táo cổ kỳ,",處處歡聲噪鼓旗，
Gia gia ngưu tửu khao vương sư.,家家牛酒犒王師。
"Hưu khoa Hán thất Phiêu Diêu tướng,",休夸漢室嫖姚將，
Khởi thuyết Đường triều Quách Tử Nghi?,豈說唐朝郭子儀。
"Trầm ngâm thử sự lục thập xuân,",沈吟此事六十春，
Thử địa kinh qua lệ mãn cân.,此地經過淚滿巾。
"Hoàng vân lạc nhật cổ cốt bạch,",黄雲落日古骨白，
Sa lịch thảm đạm sầu hành nhân.,沙礫慘淡愁行人。
"Hành nhân lai chiết chiến trường liễu,",行人來折戰場柳，
Hạ mã toạ vọng Cư Dung khẩu.,下馬坐望居庸口。
"Khước ức thiên quan nghinh giá sơ,",卻憶千官迎駕初，
Thiên thặng vạn kỵ hạ hoàng đô.,千乘萬騎下皇都。
"Càn khôn đắc kiến trung hưng chủ,",乾坤得見中興主，
Nhật nguyệt trùng khai tái tạo đồ.,日月重開再造圖。
"Kiêu hùng bất sổ Vân Đài sĩ,",梟雄不數雲臺士，
Dương Thạch tề danh thiên hạ vô.,楊石齊名天下無。
"Ô hô Dương Thạch kim dĩ vô,",嗚呼楊石今已無，
An đắc tái sinh thử bối tây bị Hồ!,安得再生此輩西備胡。
