vi,ch
"Nhân nhật đề thi ký thảo đường,",人日題詩寄草堂，
"Dao liên cố nhân, tư cố hương.",遙憐故人思故鄉。
"Liễu điều lộng sắc bất nhẫn kiến,",柳條弄色不忍見，
Mai hoa mãn chi không đoạn trường.,梅花滿枝空斷腸！
"Thân tại nam phiên vô sở dự,",身在南蕃無所預，
Tâm hoài bách ưu phục thiên lự.,心懷百憂復千慮。
"Kim niên nhân nhật không tương ức,",今年人日空相憶，
Minh niên nhân nhật tri hà xứ ?,明年人日知何處？
"Nhất ngoạ Đông Sơn tam thập xuân,",一臥東山三十春，
Khởi tri thư kiếm lão phong trần.,豈知書劍老風塵，
"Long chung hoàn thiểm nhị thiên thạch,",龍鐘還忝二千石，
Quý nhĩ đông tây nam bắc nhân!,愧爾東西南北人！
