vi,ch
"Thiên hạ kỷ nhân hoạ cổ tùng,",天下幾人畫古松，
Tất Hoằng dĩ lão Vi Yển thiểu.,畢宏已老韋偃少。
"Tuyệt bút trường phong khởi tiêm mạt,",絕筆長風起纖末，
Mãn đường động sắc ta thần diệu!,滿堂動色嗟神妙！
"Lưỡng châu thảm liệt đài tiển bì,",兩株慘裂苔蘚皮，
Quật thiết giao thác hồi cao chi.,屈鐵交錯回高枝。
"Bạch tồi hủ cốt long hổ tử,",白摧朽骨龍虎死，
Hắc nhân thái âm lôi vũ thuỳ.,黑人太陰雷雨垂。
"Tùng căn Hồ tăng khế tịch mịch,",松根胡僧憩寂寞，
Bàng my hạo thủ vô trú trước.,龐眉皓首無住著。
"Thiên đản hữu khiên lộ song cước,",偏袒右肩露雙腳，
Diệp lý tùng tử tăng tiền lạc.,葉裡松子僧前落。
"Vi hầu, Vi hầu, sổ tương kiến?",韋侯韋侯數相見，
"Ngã hữu nhất thất hảo đông quyên,",我有一匹好東絹，
Trọng chi bất giảm cẩm tú đoạn.,重之不減錦繡段。
"Dĩ linh phất thức quang lăng loạn,",已令拂拭光淩亂，
Thỉnh công phóng bút vi trực cán.,請公放筆為直幹。
