vi,ch
"Hán gia thiên tướng tài thư hùng,",漢家天將才且雄，
Lai thời yết đế Minh Quang cung.,來時謁帝明光宮。
"Vạn thừa thân suy song khuyết hạ,",萬乘親推雙闕下，
Thiên quan xuất tiễn Ngũ Lăng đông.,千官出餞五陵東。
"Thệ từ giáp đệ kim môn lý,",誓辭甲第金門裏，
Thân tác Trường Thành Ngọc Tái trung.,身作長城玉塞中。
"Vệ Hoắc tài kham nhất kỵ tướng,",衛霍才堪一騎將，
Triều đình bất sổ Nhị Sư công.,朝廷不數貳師功。
"Triệu Nguỵ Yên Hàn đa kình tốt,",趙魏燕韓多勁卒，
Quan Tây hiệp thiếu hà bào bột.,關西俠少何咆勃。
"Báo thù chỉ thị văn thường đảm,",報讎只是聞嘗膽，
Ẩm tửu bất tằng phương quát cốt.,飲酒不曾妨刮骨。
"Hoạ kích điêu qua bạch nhật hàn,",畫戟雕戈白日寒，
Liên kỳ đại bái hoàng trần một.,連旗大旆黃塵沒。
"Điệp cổ dao phiên Hãn Hải ba,",疊鼓遙翻瀚海波，
Minh già loạn động Thiên Sơn nguyệt.,鳴笳亂動天山月。
"Kỳ lân cẩm đới bội Ngô câu,",麒麟錦帶佩吳鉤，
Táp đạp thanh ly dược tử lưu.,颯遝青驪躍紫騮。
"Bạt kiếm dĩ đoạn thiên kiêu tí,",拔劍已斷天驕臂，
Quy yên cộng ẩm Nhục Chi đầu.,歸鞍共飲月支頭。
"Hán binh đại hô nhất đương bách,",漢兵大呼一當百，
Lỗ kỵ tương khán khốc thả sầu.,虜騎相看哭且愁。
"Giao chiến tuy lệnh phó thang hoả,",教戰雖令赴湯火，
Chung tri thượng tướng tiên phạt mưu.,終知上將先伐謀。
