vi,ch
"Quy khứ lai hề, điền viên tương vu, hồ bất quy!",歸去來兮，田園將蕪，胡不歸！
"Ký tự dĩ tâm vi hình dịch, hề trù trướng nhi độc bi?",既自以心為形役，奚惆悵而獨悲？
"Ngộ dĩ vãng chi bất gián, tri lai giả khả truy.",悟已往之不諫，知來者可追。
"Thực mê đồ kỳ vị viễn, giác kim thị nhi tạc phi.",實迷途其未遠，覺今是而昨非。
"Chu dao dao dĩ khinh dương, phong phiêu phiêu nhi xuy y.",舟遙遙以輕颺，風飄飄而吹衣。
"Vấn chinh phu dĩ tiền lộ, hận thần quang chi hy vi.",問征夫以前路，恨晨光之熹微。
"Nãi chiêm hành vũ, tái hân tái bôn.",乃瞻衡宇，載欣載奔。
"Đồng bộc hoan nghinh, trĩ tử hậu môn.",僮僕歡迎，稚子候門。
"Tam kính tựu hoang, tùng cúc do tồn.",三徑就荒，松菊猶存。
"Huề ấu nhập thất, hữu tửu doanh tôn.",攜幼入室，有酒盈樽。
"Dẫn hồ trường dĩ tự chước, miện đình kha dĩ di nhan.",引壺觴以自酌，眄庭柯以怡顏。
"Ỷ nam song dĩ ký ngạo, thẩm dung tất chi dị an.",倚南窗以寄傲，審容膝之易安。
"Viên nhật thiệp dĩ thành thú, môn tuy thiết nhi thường quan.",園日涉以成趣，門雖設而常關。
"Sách phù lão dĩ lưu khế, thời kiểu thủ nhi du quan.",策扶老以流憩，時矯首而遊觀。
"Vân vô tâm dĩ xuất tụ, điểu quyện phi nhi tri hoàn.",雲無心以出岫，鳥倦飛而知還。
"Cảnh ế ế dĩ tương nhập, phủ cô tùng nhi bàn hoàn.",景翳翳以將入，撫孤松而盤桓。
"Quy khứ lai hề, thỉnh tức giao dĩ tuyệt du.",歸去來兮，請息交以絕遊。
"Thế dữ ngã nhi tương vi, phục giá ngôn hề yên cầu?",世與我而相違，復駕言兮焉求？
"Duyệt thân thích chi tình thoại, lạc cầm thư dĩ tiêu ưu.",悅親戚之情話，樂琴書以消憂。
"Nông nhân cáo dư dĩ xuân cập, tương hữu sự ư tây trù.",農人告余以春及，將有事於西疇。
"Hoặc mệnh cân xa, hoặc trạo cô chu.",或命巾車，或棹孤舟。
"Ký yểu điệu dĩ tầm hác, diệc khi khu nhi kinh khâu.",既窈窕以尋壑，亦崎嶇而經丘。
"Mộc hân hân dĩ hướng vinh, tuyền quyên quyên nhi thuỷ lưu.",木欣欣以向榮，泉涓涓而始流。
"Tiện vạn vật chi đắc thời, cảm ngô sinh chi hành hưu.",羨萬物之得時，感吾生之行休。
Dĩ hĩ hồ!,已矣乎！
"Ngụ hình vũ nội phục kỷ thời, hạt bất uỷ tâm nhiệm khứ lưu?",寓形宇內復幾時，曷不委心任去留？
"Hồ vi hoàng hoàng, dục hà chi?",胡為遑遑，欲何之？
"Phú quý phi ngô nguyện, đế hương bất khả kỳ.",富貴非吾願，帝鄉不可期。
"Hoài lương thần dĩ cô vãng, hoặc thực trượng nhi vân tỷ.",懷良辰以孤往，或植杖而耘耔。
"Đăng đông cao dĩ thư khiếu, lâm thanh lưu nhi phú thi.",登東皋以舒嘯，臨清流而賦詩。
"Liêu thừa hoá dĩ quy tận, lạc phù thiên mệnh phục hề nghi?",聊乘化以歸盡，樂夫天命復奚疑!
