vi,ch
"Thạch gia Kim Cốc trọng tân thanh,",石家金谷重新聲，
Minh châu thập hộc mãi phinh đình.,明珠十斛買娉婷。
"Thử nhật khả liên quân tự hứa,",此日可憐君自許，
Thử thì khả hỉ đắc nhân tình.,此時可喜得人情。
"Quân gia khuê các bất tằng nan,",君家閨閣不曾難，
Thường tướng ca vũ tá nhân khan.,常將歌舞借人看。
"Ý khí hùng hào phi phân lý,",意氣雄豪非分理，
Kiêu căng thế lực hoành tương can.,驕矜勢力橫相干。
"Từ quân khứ quân chung bất nhẫn,",辭君去君終不忍，
Đồ lao yểm duệ thương duyên phấn.,徒勞掩袂傷鉛粉。
"Bách niên ly biệt tại cao lâu,",百年離別在高樓，
Nhất đán hồng nhan vị quân tận.,一旦紅顏為君盡。
