vi,ch
"Thiên Tân kiều hạ dương xuân thuỷ,",天津橋下陽春水，
Thiên Tân kiều thượng phồn hoa tử.,天津橋上繁華子。
"Mã thanh hồi hợp thanh vân ngoại,",馬聲回合青雲外，
Nhân ảnh động dao lục ba lý.,人影動搖綠波裏。
"Lục ba đãng dạng ngọc vi sa,",綠波蕩漾玉為砂，
Thanh vân ly phi cẩm tác hà.,青雲離披錦作霞。
"Khả liên dương liễu thương tâm thụ,",可憐楊柳傷心樹，
Khả liên đào lý đoạn trường hoa.,可憐桃李斷腸花。
"Thử nhật ngao du yêu mỹ nữ,",此日遨遊邀美女，
Thử thì ca vũ nhập xướng gia.,此時歌舞入娼家。
"Xướng gia mỹ nữ uất kim hương,",娼家美女郁金香，
Phi lai phi khứ công tử bàng.,飛來飛去公子傍。
"Đích đích châu liêm bạch nhật ánh,",的的珠帘白日映，
Nga nga ngọc nhan hồng phấn trang.,娥娥玉顏紅粉妝。
"Hoa tế bùi hồi song giáp điệp,",花際裴回雙蛺蝶，
Trì biên cố bộ lưỡng uyên ương.,池邊顧步兩鴛鴦。
"Khuynh quốc khuynh thành Hán Vũ Đế,",傾國傾城漢武帝，
Vi vân vi vũ Sở Tương Vương.,為雲為雨楚襄王。
"Cổ lai dung quang nhân sở tiện,",古來容光人所羨，
Huống phục kim nhật dao tương kiến.,況復今日遙相見。
"Nguyện tác khinh la trước tế yêu,",願作輕羅著細腰，
Nguyện vi minh kính phân kiều diện.,願為明鏡分嬌面。
"Dữ quân tương hướng chuyển tương thân,",與君相向轉相親，
Dữ quân song thê cộng nhất thân.,與君雙棲共一身。
"Nguyện tác trinh tùng thiên tuế cổ,",願作貞松千歲古，
Thuỳ luận phương cẩn nhất triêu tân.,誰論芳槿一朝新。
"Bách niên đồng tạ Tây sơn nhật,",百年同謝西山日，
Thiên thu vạn cổ Bắc Mang trần.,千秋萬古北邙塵。
