vi,ch
"Tứ nguyệt nam phong đại mạch hoàng,",四月南風大麥黃，
Tảo hoa vị lạc đồng âm trường.,棗花未落桐陰長。
"Thanh sơn triêu biệt mộ hoàn kiến,",青山朝別暮還見，
Tê mã xuất môn tư cựu hương.,嘶馬出門思舊鄉。
Trần hầu lập thân hà thản đãng?,陳侯立身何坦蕩？
Cầu tu hổ my nhưng đại tảng.,虯鬚虎眉仍大顙。
"Phúc trung trữ thư nhất vạn quyển,",腹中貯書一萬卷，
Bất khẳng đê đầu tại thảo mãng.,不肯低頭在草莽。
"Đông môn cô tửu ẩm ngã tào,",東門酤酒飲我曹，
Tâm khinh vạn sự giai hồng mao.,心輕萬事皆鴻毛。
"Tuý ngoạ bất tri bạch nhật mộ,",醉臥不知白日暮，
Hữu thì không vọng cô vân cao.,有時空望孤雲高。
"Trường hà lãng đầu liên thiên hắc,",長河浪頭連天黑，
Tân khẩu đình chu độ bất đắc.,津口停舟渡不得。
"Trịnh quốc du nhân vị cập gia,",鄭國遊人未及家，
Lạc Dương hành tử không thán tức.,洛陽行子空嘆息。
"Văn đạo cố lâm tương thức đa,",聞道故林相識多，
Bãi quan tạc nhật kim như hà?,罷官昨日今如何？
