vi,ch
"Lạp quang cao huyền chiếu sa không,",蠟光高懸照紗空，
Hoa phòng dạ đảo hồng thủ cung.,花房夜搗紅守宮。
"Tượng khẩu xuy hương tháp đăng noãn,",象口吹香毾覴暖，
Thất tinh quải thành văn lậu bản.,七星掛城聞漏板。
"Hàn nhập phù ti điện ảnh hôn,",寒入罘罳殿影昏，
Thải loan liêm ngạch trước sương ngân.,彩鸞簾額著霜痕。
"Đề cô điếu nguyệt câu lan hạ,",啼蛄弔月鉤欄下，
Khuất tất đồng phô toả A Chân.,屈膝銅鋪鎖阿甄。
"Mộng nhập gia môn thượng sa chử,",夢入家門上沙渚，
Thiên hà lạc xứ trường châu lộ.,天河落處長洲路。
"Nguyện quân quang minh như thái dương,",願君光明如太陽，
Phóng thiếp kỵ ngư phiết ba khứ.,放妾騎魚撇波去。
