vi,ch
"Tâm chi sinh hề sinh tử sinh,",心之生兮生死生，
Tâm chi diệt hề sinh tử diệt.,心之滅兮生死滅。
"Sinh tử nguyên lai tự tính không,",生死元來自性空，
Thử huyễn hoá thân diệc đương diệt.,此幻化身亦當滅。
"Phiền não Bồ đề ám tiêu ma,",煩惱菩提暗消磨，
Địa ngục thiên đường tự khô kiệt.,地獄天堂自枯竭。
"Hoạch thang lô thán đốn thanh lương,",鑊湯爐炭頓清涼，
Kiếm thụ đao sơn lập tồi chiết.,劍樹刀山立摧折。
"Thanh văn toạ thiền ngã vô toạ,",聲聞坐禪我無坐，
Bồ Tát thuyết pháp ngã thực thuyết.,菩薩說法我實說。
"Sinh tự vọng sinh tử vọng tử,",生自妄生死妄死，
Tứ đại bản không tòng hà khỉ?,四大本空從何起。
"Mạc vi khát lộc sấn dương diễm,",莫為渴鹿趁陽燄，
Đông tẩu tây trì vô tạm dĩ.,東走西馳無暫已。
"Pháp thân vô khứ diệc vô lai,",法身無去亦無來，
Chân tính vô phi diệc vô thị.,真性無非亦無是。
"Đáo gia tu tri bãi vấn trình,",到家須知罷問程，
Kiến nguyệt an năng khổ tầm chỉ.,見月安能苦尋指。
"Ngu nhân điên đảo bố sinh tử,",愚人顛倒怖生死，
Trí giả đạt quan nhàn nhi dĩ.,智者達官閑而已。
"Ngu nhân điên đảo bố sinh tử,",愚人顛倒怖生死，
Trí giả đạt quan nhàn nhi dĩ.,智者達官閑而已。
