vi,ch
"Dĩ văn phiêu kỵ viên binh chí,",已聞驃騎援兵至，
Nhi tư dao kiến thám mã hoàn.,髵䰄遥見探馬還。
"Dạ bán hoả hành doanh tận động,",夜半火行營盡動，
Nhất thời di trướng quá Tây san.,一時移帳過西山。
"Nhật lạc sa phi chiến cổ hiêu,",日落沙飛戰鼓囂，
Quá hà do thính mã đề kiêu.,過河猶聽馬蹄驕。
"Tiền san thám tốt tiêu lai báo,",前山探卒宵來報，
Tam lưỡng Hồ sồ học xạ điêu.,三兩胡雛學射雕。
"Phục nỗ duyên đê gian pháo đài,",伏弩緣堤間炮臺，
Thiên kiêu thập kỵ độ hà lai.,天驕十騎渡河來。
"Đồng thời thuỷ hãm mai sa tí,",同時水陷埋沙漬，
Bất khẳng thừa nguy phóng nhĩ hồi.,不肯乘危放爾回。
"Tây san nhập dạ khởi ca thanh,",西山入夜起歌聲，
Lược đắc giai nhân tửu áp kinh.,掠得佳人酒壓驚。
"Tuý ngoạ trướng tiền hồn tự tử,",醉臥帳前渾似死，
Tằng vô nhất tướng thuyết thâu doanh!,曾無一將說偷營！
"Hồ sồ ẩm mã bạng giang đinh,",胡雛飲馬傍江汀，
Pháo hoả lôi oanh tự bất thinh.,炮火雷轟似不聽。
"Kỵ mã dục hồi hoàn hạ toạ,",騎馬欲回還下坐，
Sơn điên khứ phóng hải đông thanh.,山顛去放海東青。
"Liên triều cổ giác chấn sơn a,",連朝鼓角震山阿，
Nhất dạ sa trường quỷ hoả đa.,一夜沙場鬼火多。
"Nguyệt chiếu Hán gia doanh tiễu tiễu,",月照漢家營悄悄，
Cách hà phách thủ xướng di ca.,隔河拍手唱夷歌。
