vi,ch
"Cao Tổ đề kiếm nhập Hàm Dương,",高祖提劍入咸陽，
Viêm viêm hồng nhật thăng phù tang.,炎炎紅日升扶桑。
"Quang Vũ long hưng thành đại thống,",光武龍興成大統，
Kim ô phi thượng thiên trung ương.,金烏飛上天中央。
"Ai tai Hiến Đế thiệu hải vũ,",哀哉獻帝紹海宇，
Hồng luân tây truỵ hàm trì bàng!,紅輪西墜咸池旁！
"Hà Tiến vô mưu trung quý loạn,",何進無謀中貴亂，
Lương Châu Đổng Trác ký triều đường.,涼州董卓居朝堂。
"Vương Doãn định kế tru nghịch đảng,",王允定計誅逆黨，
"Lý Thôi, Quách Dĩ hứng đao thương.",李傕郭汜興刀槍。
"Tứ phương đạo tặc như nghĩ tụ,",四方盜賊如蟻聚，
Lục hợp gian hùng giai ưng dương.,六合奸雄皆鷹揚：
"Tôn Kiên, Tôn Sách khởi Giang Tả,",孫堅孫策起江左，
"Viên Thiệu, Viên Thuật hưng Hà Lương.",袁紹袁术興河梁。
"Lưu Yên phụ tử cứ Ba Thục,",劉焉父子據巴蜀，
Lưu Biểu quân lữ truân Kinh Tương.,劉表軍旅屯荊襄。
"Trương Yên Trương Lỗ phách Nam Trịnh,",張燕張魯霸南鄭，
"Mã Đằng, Hàn Toại thủ Tây Lương.",馬騰韓遂守西涼。
"Đào Khiêm, Trương Tú, Công Tôn Toản,",陶謙張繡公孫瓚，
Các sính hùng tài chiêm nhất phương.,各逞雄才占一方。
"Tào Tháo chuyên quyền cư tướng phủ,",曹操專權居相府，
Lao lung anh tuấn dụng văn vũ.,牢籠英俊用文武。
"Uy hiệp thiên tử lệnh chư hầu,",威挾天子令諸侯，
Tổng lĩnh tì hưu trấn trung thổ.,總領貔貅鎮中土。
"Lâu Tang Huyền Đức bản hoàng tôn,",樓桑玄德本皇孫，
Nghĩa kết Quan Trương nguyện phù chủ.,義結關張愿扶主。
"Đông tây bôn tẩu hận vô gia,",東西奔走恨無家，
Tương quả binh vi tác ky lữ.,將寡兵微作羈旅。
"Nam Dương tam cố tình hà thâm,",南陽三顧情何深，
Ngoạ Long nhất kiến phân hoàn vũ.,臥龍一見分寰宇。
"Tiên thủ Kinh Châu hậu thủ Xuyên,",先取荊州后取川，
Bá nghiệp đồ vương tại thiên phủ.,霸業圖王在天府。
"Ô hô tam tái thệ thăng hà,",嗚呼三載逝升遐，
Bạch Đế thác cô kham thống sở!,白帝托孤堪痛楚！
"Khổng Minh lục xuất Kỳ Sơn tiền,",孔明六出祁山前，
Nguyện dĩ chỉ thủ tương thiên bổ.,愿以只手將天補。
"Hà kì lịch sổ đáo thử chung,",何期歷數到此終，
Trường tinh bán dạ lạc san ổ!,長星半夜落山塢！
"Khương Duy độc bằng khí lực cao,",姜維獨憑氣力高，
Cửu phạt Trung Nguyên không cù lao.,九伐中原空劬勞。
"Chung Hội, Đặng Ngải phân binh tiến,",鐘會鄧艾分兵進，
Hán thất giang san tẫn chúc Tào.,漢室江山盡屬曹。
"Phi Duệ Phương Mao tài cập Hoán,",丕睿芳髦才及奐，
Tư Mã hựu tương thiên hạ giao.,司馬又將天下交。
"Thụ Thiện đài tiền vân vụ khởi,",受禪臺前雲霧起，
Thạch đầu thành hạ vô ba đào.,石頭城下無波濤。
"Trần Lưu quy mệnh dữ an nhạc,",陳留歸命與安樂，
Vương hầu công tước tòng căn miêu.,王侯公爵從根苗：
"Phân phân thế sự vô cùng tẫn,",紛紛世事無窮盡，
Thiên sổ mang mang bất khả đào.,天數茫茫不可逃。
"Đỉnh túc tam phân dĩ thành mộng,",鼎足三分已成夢，
Hậu nhân bằng điếu không lao tao.,後人憑吊空牢騷。
