vi,ch
"Hậu xa hề bão xú, trường thành hề huyết tinh;",後車兮鮑臭，長城兮血腥；
"Long hưng hề Bái ấp, lộc tẩu hề Hàm Kinh.",龍興兮沛邑，鹿走兮咸京。
"Bạt Thanh Bình chi tiêm nhận, tru Bạch Đế chi âm tinh. Tảo phong trần ư lục hợp, quách vũ trụ nhi nhất thanh. Tư vi Hán gia chi thần khí, nhi trảm xà chi sở dĩ đắc danh dã.",拔青萍之銛刃，誅白帝之陰精。掃風塵於六合，郭宇宙而一清。斯為漢家之神器，而斬蛇之所以得名也。
"Thị kiếm dã, tuỵ Khôn lục chi trinh, cụ Kiền cửu chi cương. Công chi dĩ tạo hoá, hà chi dĩ âm dương. Thu thuỷ trạm hề đàm ngạc, băng sương lẫm hề phong mang. Trú bội hề nhật thất sắc, dạ hạp hề nguyệt thổ quang. Tuệ tinh vị chi thoái xá, yêu mị vị chi phục tàng. Bạch bích minh châu, vị túc nghĩ kỳ giá; Ngô Câu, Cự Khuyết, an đắc dữ kỳ đương.",是劍也，萃坤六之貞，具乾九之剛。工之以造化，煆之以陰陽。秋水湛兮鐔鍔，冰霜凜兮鋒芒。晝佩兮日失色，夜匣兮月吐光。彗星為之退舍，夭魅為之伏藏。白璧明珠，未足擬其價；吳鉤巨闕，安得與其當。
"Tưởng kỳ: tống đồ Ly Sơn, dạ kinh trạch bạn. Kiến cự xà chi đương đạo, trí tiền hành chi kinh phản. Hách vương uy chi chấn nộ, phấn tráng chí chi tinh hãn, bạt chi dĩ trảm, hoạch nhiên nhi đoạn. Tố linh ư thị hồ tiềm khấp, Viêm tộ ư thị hồ hách xiển. Mang Đãng chi thuỵ khí khởi, Chỉ Đạo chi ngọc tỉ hiến. Tru Cai Hạ chi âm ô, lục Hoài Âm chi nghịch bạn, khả vị vật chi thần nhi kiếm chi thiện dã.",想其：送徒驪山，夜經澤畔。見巨蛇之當道，致前行之驚返。赫王威之震怒，奮壯志之精悍，拔之以斬，劃然而斷。素靈於是乎潛泣，炎祚於是乎赫闡。芒碭之瑞氣起，軹道之玉璽獻。誅垓下之喑嗚，戮淮陰之逆叛，可謂物之神而劍之善也。
"Nhiên thường văn chi: phàm vật chi bảo, nhân nhân chi trân. Bỉ Can Tương chi linh, Mạc Da chi thần, bất tế anh minh chi chủ, thần vũ chi quân; tắc đồ mai tinh ư Phong ngục, thao thái ư Long Tân. Hạt nhược tư kiếm, thân ngộ Cao hoàng. Cắng thiên cổ chi bất dẫn, lưu gia anh nhi dũ chương.",然嘗聞之：凡物之寶，因人之珍。彼干將之靈，莫邪之神，不際英明之主，神武之君；則徒埋精於豐獄，韜采於龍津。曷若斯劍，親遇高皇。亙千古之不泯，留嘉英而愈章。
"Phú vị tất, khách nạn chi viết: “Sinh văn minh chi thời giả, bất đàm uy vũ chi công; đăng ung hi chi triều giả, bất ngôn chiến phạt chi sự. Quyết kim thánh triều, thăng bình cực trị. Hỗn tứ hải ư nhất gia, đồng xa thư ư văn quĩ. Bao can qua dĩ hổ bì, tiêu phong đích vi nông khí. Hoà khí áng hồ cửu châu, nhân phong huân hồ lưỡng tế. Tử phương ngao tường phượng nghi chi đình, vũ đạo tấu Thiều chi địa. Phản nhi chi khu khu sính điêu trùng chi mạt kỹ, xưng tạp bá chi tích, muội đế vương chi ý. Hề thời vụ chi bất thông, vi hữu thức chi sở bỉ”.",賦未畢，客難之曰：生文明之時者，不談威武之功；登雍熙之朝者，不言戰伐之事。厥今聖朝，昇平極治。混四海於一家，同車書於文軌。包干戈以虎皮，銷鋒鏑為農器。和氣盎乎九州，仁風薰乎兩際。子方翱翔鳳儀之庭，舞蹈奏韶之地。反而之區區騁雕虫之末技，稱雜伯之蹟，昧帝王之懿。奚時務之不通，為有識之所鄙。
Phú giả hỷ nhi ca viết:,賦者喜而歌曰：
Kiếm hồ! Kiếm hồ! Bất tường chi khí!,劍乎！劍乎！不祥之器！
"Thánh nhân bất đắc dĩ nhi dụng chi, thành phi sở quí.",聖人不得已而用之，誠非所貴。
"Y dư thánh triều, sùng văn thịnh thế.",猗歟聖朝，崇文盛世。
"Thiên hạ nhất thống hề, an nhiên vô sự.",天下一統兮，安然無事。
"Túng hữu thị kiếm hề, tương yên dụng bỉ!",縱有是劍兮，將焉用彼。
