vi,ch
"Bạch nhật đăng sơn vọng phong hoả,",白日登山望烽火，
Hoàng hôn ẩm mã bạng Giao Hà.,黃昏飲馬傍交河。
"Hành nhân điêu đẩu phong sa ám,",行人刁斗風沙暗，
Công chúa tỳ bà u oán đa!,公主琵琶幽怨多。
"Dã doanh vạn lý vô thành quách,",野營萬里無城郭，
Vũ tuyết phân phân liên đại mạc.,雨雪紛紛連大漠。
"Hồ nhạn ai minh dạ dạ phi,",胡雁哀鳴夜夜飛，
Hồ nhi nhãn lệ song song lạc.,胡兒眼淚雙雙落。
"Văn đạo Ngọc Môn do bị già,",聞道玉門猶被遮，
Ứng tương tính mệnh trục Khinh xa.,應將性命逐輕車。
"Niên niên chiến cốt mai hoang ngoại,",年年戰骨埋荒外，
Không kiến bồ đào nhập Hán gia.,空見葡萄入漢家。
