vi,ch
"Thiếu niên bất thiện tỵ phong hàn,",少年不善避風寒，
Nhất bệnh kinh tuần thượng vị an.,一病經旬尙未安。
"Hạnh đắc ngô thân nguyên khí chính,",幸得吾身元氣正，
Dung tà ưng bất cửu tương can.,容邪應不久相干。
"Ký khán hàn tà hựu khán phong,",既看寒邪又看風，
Dã kham ôn bổ bất kham công.,也堪溫補不堪攻。
"Thử hồi nguyện đắc lương y thủ,",此回願得良醫手，
Nhất nghệ thiên hoa khởi bệnh cung.,一乂天花起病躬。
"Ký bất tiên phòng vị bệnh thì,",既不先防未病時，
Bệnh lai chi hậu thuỷ cầu y.,病來之後始求醫。
"Hộ thân hạnh hữu lục quân tử,",護身幸有六君子，
Tác bệnh hà ưu nhị thụ nhi.,作病何憂二豎兒。
"Niên lai tối đắc âm hư bệnh,",年來最得陰虛病，
Sổ tễ điều nguyên dĩ nhất đường.,數劑調元已一堂。
"Khước hận biểu sơ tà dĩ thấu,",卻恨表疏邪已湊，
Trị tiêu kim thả mịch lương phương.,治消今且覓良方。
