vi,ch
"Chức phụ hà thái mang,",織婦何太忙，
Tàm kinh tam ngoạ hành dục lão.,蠶經三臥行欲老。
"Tàm thần nữ thánh tảo thành ty,",蠶神女聖早成絲，
Kim niên ty thuế trừu trưng tảo.,今年絲稅抽徵早。
"Tảo trưng phi thị quan nhân ác,",早徵非是官人惡，
Khứ tuế quan gia sự nhung tác.,去歲官家事戎索。
"Trưng nhân chiến khổ thúc đao sang,",徵人戰苦束刀瘡，
Chủ tướng huân cao hoán la mán.,主將勳高換羅幕。
"Sào ty chức bạch do nỗ lực,",繅絲織帛猶努力，
Biến tập liêu cơ khổ nan chức.,變緝撩機苦難織。
"Đông gia đầu bạch song nữ nhi,",東家頭白雙女兒，
Vị giải khiêu văn giá bất đắc.,爲解挑紋嫁不得。
"Thiềm tiền niệu niệu du ty thượng,",檐前嫋嫋遊絲上，
Thượng hữu tri thù xảo lai vãng.,上有蜘蛛巧來往。
"Tiện tha trùng trãi giải duyên thiên,",羨他蟲豸解緣天，
Năng hướng hư không chức la võng.,能向虛空織羅網。
