vi,ch
"Đỉnh hồ đương nhật khí nhân gian,",鼎湖當日棄人間，
Phá địch thâu kinh há Ngọc Quan.,破敵收京下玉關。
"Đỗng khốc lục quân câu cảo tố,",慟哭六軍俱縞素，
Xung quan nhất nộ vị hồng nhan.,衝冠一怒為紅顏。
"Hồng nhan lưu lạc phi ngô luyến,",紅顏流落非吾戀，
Nghịch tặc thiên vong tự hoang yến.,逆賊天亡自荒讌。
"Điện tảo Hoàng Cân định Hắc Sơn,",電掃黃巾定黑山，
Khốc bãi quân thân tái tương kiến.,哭罷君親再相見。
"Tương kiến sơ kinh Điền, Đậu gia,",相見初經田竇家，
Hầu môn ca vũ xuất như hoa.,侯門歌舞出如花。
"Hứa tương thích lý không hầu kỹ,",許將戚里箜篌伎，
Đẳng thủ tướng quân du bích xa.,等取將軍油壁車。
"Gia bản Cô Tô Cán Hoa lý,",家本姑蘇浣花里，
Viên Viên tiểu tự kiều la ỷ.,圓圓小字嬌羅綺。
"Mộng hướng Phù Sai uyển lý du,",夢向夫差苑裡遊，
Cung nga ủng nhập quân vương khởi.,宮娥擁入君王起。
"Tiền thân hợp thị thái liên nhân,",前身合是採蓮人，
Môn tiền nhất phiến Hoành Đường thuỷ.,門前一片橫塘水。
"Hoành Đường song tương khứ như phi,",橫塘雙槳去如飛，
Hà xứ hào gia cưỡng tải quy.,何處豪家強載歸？
"Thử tế khởi tri phi bạc mệnh,",此際豈知非薄命，
Thử thì chỉ hữu lệ triêm y.,此時只有淚沾衣。
"Huân thiên ý khí liên cung dịch,",薰天意氣連宮掖，
Minh mâu hạo xỉ vô nhân tích.,明眸皓齒無人惜。
"Đoạt quy vĩnh hạng bế lương gia,",奪歸永巷閉良家，
Giáo tựu tân thanh khuynh toạ khách.,教就新聲傾座客。
"Toạ khách phi trường hồng nhật mộ,",座客飛觴紅日暮，
Nhất khúc ai huyền hướng thuỳ tố.,一曲哀弦向誰訴？
"Bạch tích thông hầu tối thiếu niên,",白皙通侯最少年，
Giản thủ hoa chi lũ hồi cố.,揀取花枝屢迴顧。
"Tảo huề kiều điểu xuất phàn lung,",早攜嬌鳥出樊籠，
Đãi đắc Ngân Hà kỷ thì độ?,待得銀河幾時渡。
"Hận sát quân thư để tử thôi,",恨殺軍書抵死催，
Khổ lưu hậu ước tương nhân ngộ.,苦留後約將人誤。
"Tương ước ân thâm tương kiến nan,",相約恩深相見難，
"Nhất triêu nghĩ tặc mãn Trường An,",一朝蟻賊滿長安。
"Khả liên tư phụ lâu đầu liễu,",可憐思婦樓頭柳，
Nhận tác thiên biên phấn nhứ khan.,認作天邊粉絮看。
"Biến sách Lục Châu vi nội đệ,",遍索綠珠圍內第，
Cưỡng hô Giáng Thụ xuất điêu lan.,強呼絳樹出雕欄。
"Nhược phi tướng sĩ toàn sư thắng,",若非將士全師勝，
Tranh đắc nga mi thất mã hoàn.,爭得蛾眉匹馬還？
"Nga mi mã thượng truyền hô tiến,",蛾眉馬上傳呼進，
Vân hoàn bất chỉnh kinh hồn định.,雲鬟不整驚魂定。
"Lạp cự nghênh lai tại chiến trường,",蠟炬迎來在戰場，
Đề trang mãn diện tàn hồng ấn.,啼妝滿面殘紅印。
"Chuyên chinh tiêu cổ hướng Tần Xuyên,",專征簫鼓向秦川，
Kim Ngưu đạo thượng xa thiên thặng.,金牛道上車千乘。
"Tà Cốc vân thâm khởi hoạ lâu,",斜谷雲深起畫樓，
Tản Quan nguyệt lạc khai trang kính.,散關月落開妝鏡。
"Truyền lai tiêu tức mãn giang hương,",傳來消息滿江鄉，
Ô cữu hồng kinh thập độ sương.,烏臼紅經十度霜。
"Giáo khúc kỹ sư liên thượng tại,",教曲妓師憐尚在，
Cán sa nữ bạn ức đồng hành.,浣紗女伴憶同行。
"Cựu sào cộng thị hàm nê yến,",舊巢共是啣泥燕，
Phi thượng chi đầu biến phượng hoàng.,飛上枝頭變鳳凰。
"Trường hướng tôn tiền bi lão đại,",長向尊前悲老大，
Hữu nhân phu tế thiện hầu vương.,有人夫婿擅侯王。
"Đương thời chỉ thụ thanh danh luỵ,",當時祇受聲名累，
Quý thích danh hào cạnh diên trí.,貴戚名豪競延致。
"Nhất hộc minh châu vạn hộc sầu,",一斛明珠萬斛愁，
Quan sơn phiêu bạc yêu chi tế.,關山漂泊腰支細。
"Thác oán cuồng phong dương lạc hoa,",錯怨狂風颺落花，
Vô biên xuân sắc lai thiên địa.,無邊春色來天地。
"Thường văn khuynh quốc dữ khuynh thành,",嘗聞傾國與傾城，
Phiên sử Chu Lang thụ trọng danh.,翻使周郎受重名。
"Thê tử khởi ưng quan đại kế,",妻子豈應關大計，
Anh hùng vô nại thị đa tình.,英雄無奈是多情。
"Toàn gia bạch cốt thành hôi thổ,",全家白骨成灰土，
Nhất đại hồng trang chiếu hãn thanh.,一代紅妝照汗青。
Quân bất kiến:,君不見：
"Quán Oa sơ khởi uyên ương túc,",館娃初起鴛鴦宿，
Việt nữ như hoa khan bất túc.,越女如花看不足。
"Hương kính trần sinh điểu tự đề,",香徑塵生鳥自啼，
Tiệp lang nhân khứ đài không lục.,屧廊人去苔空綠。
"Hoán vũ di cung vạn lý sầu,",換羽移宮萬里愁，
Châu ca thuý vũ cổ Lương Châu.,珠歌翠舞古梁州。
"Vị quân biệt xướng Ngô cung khúc,",為君別唱吳宮曲，
Hán thuỷ đông nam nhật dạ lưu.,漢水東南日夜流。
