vi,ch
"Sứ quân ý khí lăng thanh tiêu,",使君意氣淩青霄，
Ức tạc hoan ngu thường kiến chiêu.,憶昨歡娛常見招。
"Tế mã thì minh kim yểu niểu,",細馬時鳴金騕褭，
Giai nhân lũ xuất Đổng Kiều Nhiêu.,佳人屢出董嬌饒。
"Đông lưu giang thuỷ, tây phi yến,",東流江水西飛燕，
Khả tích xuân quang bất tương kiến.,可惜春光不相見。
"Nguyện huề Vương, Triệu lưỡng hồng nhan,",願攜王趙兩紅顏，
Tái sính cơ phu như tố luyện.,再騁肌膚如素練。
"Thông Tuyền bách lý cận Tử Châu,",通泉百里近梓州，
Thỉnh công nhất lai khai ngã sầu.,請公一來開我愁。
"Vũ xứ trùng khan hoa mãn diện,",舞處重看花滿面，
Tôn tiền hoàn hữu cẩm triền đầu.,尊前還有錦纏頭。
