vi,ch
"Tự mông Thục châu “Nhân nhật” tác,",自蒙蜀州人日作，
Bất ý thanh thi cửu linh lạc.,不意清詩久零落。
"Kim thần tán dật nhãn hốt khai,",今晨散帙眼忽開，
Bính lệ u ngâm sự như tạc.,迸淚幽吟事如昨。
"Ô hô tráng sĩ đa khảng khái,",嗚呼壯士多慷慨，
Hợp đạp cao danh động liêu khoác.,合沓高名動寥廓。
"Thán ngã thê thê cầu hữu thiên,",歎我悽悽求友篇，
Cảm thì uất uất khuông quân lược.,感時鬱鬱匡君略。
"Cẩm lý xuân quang không lạn mạn,",錦里春光空爛熳，
Dao trì thị thần tỵ minh mạc.,瑤墀侍臣巳冥莫。
"Tiêu Tương thuỷ quốc bàng ngoan đà,",瀟湘水國傍黿鼉，
"Hộ, Đỗ thu thiên thất điêu ngạc.",鄠杜秋天失鵰鶚。
"Đông tây nam bắc cánh thuỳ luận,",東西南北更誰論，
Bạch thủ biển chu bệnh độc tồn.,白首扁舟病獨存。
"Dao củng bắc thần triền khấu đạo,",遙拱北辰纏寇盜，
Dục khuynh đông hải tẩy càn khôn.,欲傾東海洗乾坤。
"Biên tái tây Phồn tối sung xích,",邊塞西蕃最充斥，
Y quan nam độ đa băng bôn.,衣冠南渡多崩奔。
"Cổ sắt chí kim bi đế tử,",鼓瑟至今悲帝子，
Duệ cứ hà xứ mịch vương môn.,曳裾何處覓王門。
"Văn chương Tào Thực ba lan khoát,",文章曹植波瀾闊，
Phục thực Lưu An đức nghiệp tôn.,服食劉安德業尊。
"Trường địch thuỳ năng loạn sầu tứ,",長笛誰能亂愁思，
Chiêu Châu từ hàn dữ “Chiêu hồn”.,昭州詞翰與招魂。
