vi,ch
"Nam Cung ngọc đường xuân trú tình,",南宮玉堂春晝晴，
Toả song vụ thuỳ u tứ thanh.,瑣窗霧垂幽思清。
"Tiên sinh hung thứ kỷ khâu hác,",先生胸次幾丘壑，
Đạm mặc lạc chỉ thi vô thanh.,淡墨落紙詩無聲。
"Bạch vân diệt một xuân sơn bích,",白雲滅沒春山碧，
Vạn thuỷ lâm ly nguyên khí thấp.,萬水淋漓元氣濕。
"Phong yên tự tích Lộc Môn thâm,",風煙自昔鹿門深，
Tự ái Bàng công bất lãng xuất.,似愛厖公不浪出。
"Tương Dương vân ngoạ tứ di duyệt,",襄陽雲臥思怡悅，
Bất vị nùng tiêm canh xảo chuyết.,不為濃纖更巧拙。
Hư đường sinh bạch định hà như?,虛堂生白定何如，
Ngọc khí trụ không hồng quán nguyệt.,玉氣柱空虹貫月。
