vi,ch
"Khứ niên kim nhật tại đông dương,",去年今日在東洋，
Thảm vũ sầu vân mãn thuỷ hương.,慘雨愁雲滿水鄉。
"Già đoạn quy trình vân vạn trục,",遮斷歸程雲萬軸，
Vọng hồi khứ lộ thuỷ thiên quang.,望回去路水千洸。
"Kim niên thử nhật Minh giang phố,",今年此日明江庯，
Nguyệt lãng phong thanh thiên vạn hộ.,月朗風清千萬户。
"Tào tạp tân nha khuyến thưởng thu,",嘈雜新衙勸賞秋，
Phân mang quốc sự nan thành thú.,紛忙國事難成趣。
"Phong tiền nguyệt hạ uổng thương bi,",風前月下枉傷悲，
Khốc tự Tân Đình đối khấp nhi.,酷似新亭對泣兒。
"Thức ngã chung tiêu song tận lệ,",拭我終宵雙盡淚，
Tư quân nhất nhật thập đa thời.,思君一日十多時。
"Tưởng lai tại tích thiên hương các,",想來在昔天香閣，
Quân tể túc ủng hoà thả nhạc.,君宰肅壅和且樂。
"Quân niệm dân gian tối khả liên,",君念民艱最可憐，
Thần ngôn binh sự nan dao độ.,臣言兵事難遙度。
"Nhi kim quân tại Quế Lâm thành,",而今君在桂林城，
Tung tích phù trầm phong đả bình.,蹤跡浮沉風打萍。
"Giá tốt mông trần phi hoạch dĩ,",駕卒蒙塵非獲已，
Mộng hồi phục vật diệc nan tỉnh.,夢回復物亦難醒。
"Y thuỳ cẩu tác nhãn tiền kế,",伊誰苟作眼前計，
Bất vi cương thường hoàn vi kỷ.,不為綱常還為己。
"Chung đỉnh quan thường mạc niệm thù,",鐘鼎冠裳莫念酬，
Quỷ thần thiên địa na tri uý.,鬼神天地那知畏。
"Quân thần đại nghĩa trọng thiên kim,",君臣大義重千金，
Hà nãi thao thao cẩu trệ tâm.,何乃滔滔狗彘心。
"Đầu lý hồng cân quan dĩ huỷ,",頭裏紅巾冠已毀，
Đầu huyền bạch nhận kiếm tương lâm.,頭懸白刃劍將臨。
Quân bất kiến:,君不見：
"Nghiêm đầu, Kê huyết, Thường Sơn thiệt,",嚴頭嵇血常山舌，
Kinh kinh Trương tinh Tô Vũ tiết.,荊荊張旌蘇武節。
"Tại tích oanh oanh tố hảo trường,",在昔轟轟做好場，
Chí kim sách sách xưng anh liệt.,至今嘖嘖稱英烈。
Hựu bất kiến:,又不見：
"Xuất sư chi biểu nhật tinh huyền,",出師之表日星懸，
Kích ấp trung lưu tráng chí kiên.,擊揖中流壯志堅。
"Mạc trắc tại thiên thành tố cục,",莫測在天成素局，
Đương vi tự ngã trứ tiên tiên.,當為自我著先鞭。
"Chiêu chiêu vãng tích phương thiên cổ,",昭昭往昔芳千古，
Tử tế tư lượng hồ bất ngộ.,仔細思量胡不悟。
"Khước vi thân gia tuẫn lợi danh,",却為身家徇利名，
Bất đồ xã tắc tư quân phụ.,不圖社稷思君父。
"Ngã quân kim nhật thả như hà,",我君今日且如何，
Sử ngã thu phong hưng chuyển xa.,使我秋風興轉賒。
"Mạc mạc tráo đầu trần ế khởi,",漠漠罩頭塵翳起，
Mông mông chuyển thuấn nhật tinh tà.,朦朦轉瞬日星斜。
"Chiết giao cung thỉ tư kham dụng,",折膠弓矢兹堪用，
Thậm nhật hoàn hoàn hùng hổ chúng.,甚日桓桓熊虎眾。
"Si bỉ tì hưu tảo bỉ phân,",笞彼貔貅掃彼氛，
Phục ngã giang san tồn ngã thống.,復我江山存我統。
"Nông tuy nô độn thả tòng quân,",儂雖駑鈍且從軍，
Uất uất hành tương túc chí thân.,鬱鬱行將夙志伸。
"Tái tạo can khôn hân phục ngọ,",再造乾坤欣復午，
Tam tuyên đình viện khánh trường xuân.,三宣庭院慶長春。
