vi,ch
"Kết trường kết trường nhẫn cánh văn,",結腸結腸忍更聞，
Thiếp niên thập lục sơ thị quân.,妾年十六初侍君。
"Phụ giã tảo thệ mẫu độc tồn,",父也早逝母獨存，
Vị quân sinh tử kim hữu tôn.,為君生子今有孫。
"Tích tẩu Sở Việt mại Yên Tần,",昔走楚越邁燕秦，
Vạn lý quân ninh tuất phụ nhân?,萬里君寧恤婦人。
"Ngoại hảo bất bổ trung khổ tân,",外好不補中苦辛，
Trung niên đắc quy kế vĩnh cửu.,中年得歸計永久。
"Mệnh giã bách bệnh toản thiếp thân,",命也百病攢妾身，
Ngôn tất ý vi thời phản thần.,言畢意違時反唇。
"Thiếp phỉ vô ngỗ quân đa sân,",妾匪無迕君多嗔，
Trung trường kết khúc nan vi từ.,中腸結曲難為辭。
Sinh ký nan minh tử cự tri?,生既難明死詎知？
"Thiên kết vạn kết vị quân nhĩ,",千結萬結為君爾，
Quân bất tri thiếp trường tại thử.,君不知妾腸在此。
