vi,ch
"Yêu yêu viên đào,",夭夭園桃，
Vô tử không trường.,無子空長。
"Hư mỹ nan giá,",虛美難假，
Thiên luân bất hành.,偏輪不行。
"Hoài Âm ngũ hình,",淮陰五刑，
Điểu tận cung tàng.,鳥盡弓藏。
"Bảo thân tồn danh,",保身存名，
Độc hữu Tử Phòng.,獨有子房。
"Đại phẫn bất thâu,",大憤不收，
Bao y vô đới.,褒衣無帶。
"Đa ngôn quả thành,",多言寡誠，
Chi linh sự bại.,祗令事敗。
"Tô Tần chi thuyết,",蘇秦之說，
Lục quốc dĩ vong.,六國已亡。
"Khuynh trắc mại chúa,",傾側賣主，
Xa liệt cố đương.,車裂固當。
"Hiền hĩ Trần Chẩn,",賢矣陳軫，
Trung nhi hữu mưu.,忠而有謀。
"Sở Hoài bất tòng,",楚懷不從，
Hoạ tốt bất cứu.,禍卒不救。
"Hoạ phu Ngô Khởi,",禍夫吳起，
Tri tiểu mưu đại.,知小謀大。
"Tây Hà hà kiện,",西河何健，
Phục thi hà liệt.,伏尸何劣。
"Ta bỉ Quách sinh,",嗟彼郭生，
Cổ chi nhã nhân!,古之雅人！
"Trí hĩ Yên Chiêu,",智矣燕昭，
Khả vị đắc thần.,可謂得臣。
"Nga nga Trọng Liên,",峨峨仲連，
"Tề chi cao sĩ,",齊之高士，
"Bắc từ thiên kim,",北辭千金，
Đông đạo thương hải.,東蹈滄海。
