vi,ch
"Cổ phó lạp nguyệt nhị thập tứ,",古傅臘月二十四，
Táo quân triều thiên dục ngôn sự.,灶君朝天欲言事。
"Vân xa phong mã tiểu lưu liên,",雲車風馬小留連，
Gia hữu bôi bàn phong điển tự.,家有杯盤豐典祀。
"Trư đầu lạn nhiệt song ngư tiên,",豬頭爛熱雙魚鮮，
Đậu sa cam tùng phấn nhị đoàn.,豆沙甘松粉餌團。
"Nam nhi chước hiến nữ nhi tị,",男兒酌獻女兒避，
Lỗi tửu thiêu tiền Táo quân hỉ.,酹酒燒錢灶君喜。
"Tỳ tử đấu tranh quân mạc văn,",婢子鬥爭君莫聞，
Miêu khuyển giác uế quân mạc sân.,貓犬角穢君莫嗔。
"Tống quân tuý bão đăng thiên môn,",送君醉飽登天門，
"Tiêu trường tiêu đoản vật phục vân,",杓長杓短勿復云，
Khất thủ lợi thị quy lai phân.,乞取利市歸來分。
