vi,ch
"Thiên hà như thị chi thương thương hề,",天何如是之蒼蒼兮，
Thừa ngọc cầu dĩ du hồ khung lung da?,乘玉虯以遊乎穹窿耶？
"Địa hà như thị chi mang mang hề,",地何如是之茫茫兮，
Giá dao tượng dĩ giáng hồ tuyền nhưỡng da?,駕瑤象以降乎泉壤耶？
"Vọng tản cái chi lục ly hề,",望傘蓋之陸離兮，
"Ức Cơ, Vĩ chi quang da?",抑箕尾之光耶？
"Liệt vũ bảo nhi vi tiền đạo hề,",列羽葆而為前導兮，
Vệ Nguy hư vu bàng da?,衛危虛于傍耶？
"Khu phong long dĩ vi tý tòng hề,",驅豐隆以為庇從兮，
Vọng thư nguyệt dĩ lâm da?,望舒月以臨耶？
"Thính xa quỹ nhi y yết hề,",聽車軌而伊軋兮，
Ngự loan ê dĩ chinh da?,御鸞鷖以征耶？
"Văn phức uất nhi phiêu nhiên hề,",聞馥郁而飄然兮，
Nhận hành đỗ dĩ vi nhương da?,紉蘅杜以為纕耶？
"Lan quần cư chi thước thước hề,",斕裙裾之爍爍兮，
Lũ minh nguyệt dĩ vi đương da?,鏤明月以為璫耶？
"Tá uy nhuy nhi thành trĩ hề,",借葳蕤而成畤兮，
Kềnh liên diễm dĩ chúc lan cao da?,檠蓮焰以燭蘭膏耶？
"Văn hồ bào dĩ vi chí giả hề,",文瓠匏以為觶斝兮，
Sái linh lục dĩ phù quế tữ da?,灑醽醁以浮桂醑耶？
"Chiêm vân khí nhi ngưng mâu hề,",瞻雲氣而凝眸兮，
Phỏng phật hữu sở chiêm da?,仿佛有所覘耶？
"Phủ ba ngân nhi cư nhĩ hề,",俯波痕而居耳兮，
Hoảng dịch hữu sở văn da?,恍惚有所聞耶？
"Kỳ hãn mạn nhi vô tế hề,",期汗漫而無際兮，
Nhẫn quyên khí dư vu trần ai da?,忍捐棄予于塵埃耶？
"Thiến phong liêm chi vi dư khu xa hề,",倩風廉之為余驅車兮，
Ký liên bí nhi huề quy da?,冀聯轡而攜歸耶？
"Dư trung tâm vi chi khái nhiên hề,",余中心為之慨然兮，
Đồ khiếu khiếu nhi hà vi da?,徒噭噭而何為耶？
"Khanh yển nhiên nhi trường tẩm hề,",卿偃然而長寢兮，
Khởi thiên vận chi biến vu tư da?,豈天運之變于斯耶？
"Ký truân tịch thả an ổn hề,",既窀穸且安穩兮，
Phản kỳ chân nhi hựu hề hoá da?,反其真而又奚化耶？
"Dư do trất cốc nhi huyền phụ hề,",余猶桎梏而懸附兮，
Linh cách dư dĩ ta lai da?,靈格余以嗟來耶？
"Lai hề chỉ hề,",來兮止兮，
Khanh kỳ lai da?,卿其來耶？
"Nhược phu hồng mông nhi cư,",若夫鴻蒙而居，
"Tịch tĩnh dĩ xứ,",寂靜以處，
"Tuy lâm vu tư,",雖臨于茲，
Dư diệc mạc đổ.,余亦莫睹。
"Khiên yên la nhi vi bộ chướng,",搴煙蘿而為步障，
Liệt xương bồ nhi sâm hàng ngũ.,列菖蒲而森行伍。
"Cảnh liễu nhãn chi tham miên,",警柳眼之貪眠，
Thích liên tâm chi vị khổ.,釋蓮心之味苦。
"Tố nữ ước vu quế nham,",素女約于桂岩，
Mật phi nghinh lan chử.,宓妃迎蘭渚。
"Lộng Ngọc xuy sinh,",弄玉吹笙，
Hàn hoàng kích ngữ.,寒簧擊敔。
"Chinh Tung Nhạc chi phi,",征嵩嶽之妃，
Khởi Ly Sơn chi mụ.,啟驪山之姥。
"Quy trình Lạc phố chi linh,",龜呈洛浦之靈，
Thú tác Hàm trì chi vũ.,獸作咸池之舞。
"Tiềm Xích thuỷ hề long ngâm,",潛赤水兮龍吟，
Tập Châu lâm hề phụng giả chứ.,集珠林兮鳳者翥。
"Viên cách viên thành,",爰格爰誠，
Phỉ phủ phỉ cử.,匪簠匪莒。
"Phát nhận hồ Hà thành,",發軔乎霞誠，
Hoàn tinh hồ Huyền phố.,還旌乎玄圃。
"Ký hiển vi nhi nhược thông,",既顯微而若通，
Phúc nhân uân nhi thúc trở.,復氤氳而倏阻。
"Ly hợp hề yên vân,",離合兮煙雲，
Không mông hề vụ vũ.,空蒙兮霧雨。
"Trần mai liễm hề tinh cao,",塵霾斂兮星高，
Khê sơn lệ hề nguyệt ngọ.,溪山麗兮月午。
"Hà tâm ý chi phanh phanh,",何心意之怦怦，
Nhược ngụ mị chi hủ hủ?,若寤寐之栩栩？
"Dư nãi hy hư trướng ưởng,",余乃欷歔悵怏，
Khấp thế bàng hoàng.,泣涕徬徨。
"Nhân ngữ hề tịch lịch,",人語兮寂歷，
Thiên lại hề vân đương.,天籟兮篔簹。
"Điểu kinh tán nhi phi,",鳥驚散而飛，
Ngư xiệp điệp dĩ hưởng.,魚唼喋以響。
"Chí ai hề thị đảo,",志哀兮是禱，
Thành lễ hề kỳ tường.,成禮兮期祥。
Ô hô! Ai tai!,嗚呼！哀哉！
Thượng hưởng!,尚饗！
