vi,ch
"Thu phong xuy địa bách thảo can,",秋風吹地百草幹，
Hoa dung bích ảnh sinh vãn hàn.,華容碧影生晚寒。
"Ngã đương nhị thập bất đắc ý,",我當二十不得意，
Nhất tâm sầu tạ như khô lan.,一心愁謝如枯蘭。
"Y như phi thuần mã như cẩu,",衣如飛鶉馬如狗，
Lâm kỳ kích kiếm sinh đồng hống.,臨岐擊劍生銅吼。
"Kỳ đình hạ mã giải thu y,",旗亭下馬解秋衣，
Thỉnh thế Nghi Dương nhất hồ tửu.,請貰宜陽一壺酒。
"Hồ trung hoán thiên vân bất khai,",壺中喚天雲不開，
Bạch trú vạn lý nhàn thê mê.,白晝萬里閒悽迷。
"Chủ nhân khuyến ngã dưỡng tâm cốt,",主人勸我養心骨，
Mạc thâu tục vật tương điền hôi.,莫受俗物相填豗。
