vi,ch
"Lão phu nguyên thị lương gia tử,",老夫元是良家子，
Thiếu niên lưu lạc nhung hành lý.,少年流落戎行裏。
"Năng tương nhất kiếm tịnh yên trần,",能將一劍淨烟塵，
Kỉ nhập trùng vi thân bất tử.,幾入重圍身不死。
"Luy luy kim ấn trửu gian huyền,",纍纍金印肘間懸，
Tái thượng trì khu ngũ thập niên.,塞上馳驅五十年。
"Dĩ tiện công huân tải minh phủ,",已羨功勲載盟府，
Cửu khan tính tự thư Yên Nhiên.,久看姓字書燕然。
"Nhất triêu tạ bệnh quy nham hác,",一朝謝病歸巖壑，
Môn ngoại tiêu điều khả la tước.,門外蕭條可羅雀。
"Thân kinh bách chiến vị long chung,",身經百戰未龍鍾，
Do hướng nhân tiền khoa quắc thước.,猶向人前誇矍鑠。
"Bảo kiếm niên đa phong ngạc tiêu,",寳劍年多鋒鍔銷，
Lịch trung lão ký minh tiêu tiêu.,櫪中老驥鳴蕭蕭。
"Nhung y quải bích thành trần thổ,",戎衣掛壁成塵土，
Cựu nhật hồng kỳ nhan sắc điêu.,舊日紅旗顔色凋。
"Nhất tự đầu nhàn kinh kỉ tải,",一自投閒經幾載，
Thỉnh anh tráng chí hoàn ưng tại.,請纓壯志還應在。
"Dao vọng sa trường nguyện khoả thi,",遥望沙場願裹屍，
Do tư đồng trụ tiêu Viêm Hải.,猶思銅柱標炎海。
"Phong đích kim niên khứ bị biên,",鋒鏑今年去備邊，
Liên doanh phong hoả thông Cam Tuyền.,連營烽火通甘泉。
"Đa thiểu tài quan câu thúc thủ,",多少材官俱束手，
Vô nhân cổ dũng năng đăng tiên.,無人賈勇能登先。
"Tướng quân văn thử khí bột bột,",將軍聞此氣勃勃，
Mục tí liệt tận quan xung phát.,目眥裂盡冠衝髪。
"Tiện vãng đầu thư hiến chí tôn,",便往投書獻至尊，
Hùng tâm thệ dục tham hổ quật.,雄心誓欲探虎窟。
"Cứ an cố phán xuất viên môn,",據鞍顧盼出轅門，
Chuỳ lão hoàn kham báo chủ ân.,埀老還堪報主恩。
"Đãn lệnh thử khứ thanh sa mạc,",但令此去清沙漠，
Bất quản kim thương tí thượng ngân.,不管金鎗臂上痕。
