vi,ch
"Bi đài tiêu táp thạch lung túng,",悲臺蕭颯石巃嵷，
Ai hác xoa nha hạo hô húng.,哀壑杈椏浩呼洶。
"Trung hữu vạn lý chi trường giang,",中有萬里之長江，
Hồi phong thao nhật cô quang động.,回風滔日孤光動。
"Giác ưng phiên đảo tráng sĩ tí,",角鷹翻倒壯士臂，
Tướng quân ngọc trướng hiên thuý khí.,將軍玉帳軒翠氣。
"Nhị ưng mãnh não từ hầu tị,",二鷹猛腦徐侯穟，
Mục như sầu Hồ thị thiên địa.,目如愁胡視天地。
"Sam kê trúc thố bất tự tích,",杉雞竹兔不自惜，
Khê hổ dã dương câu tịch dịch.,溪虎野羊俱辟易。
"Câu thượng phong lăng thập nhị cách,",韝上鋒稜十二翮，
Tướng quân dũng duệ dữ chi địch.,將軍勇銳與之敵。
"Tướng quân thụ huân khởi An Tê,",將軍樹勳起安西，
Côn Luân Ngu tuyền nhập mã đề.,崑崙虞泉入馬蹄。
"Bạch vũ tằng nhục tam toan nghê,",白羽層肉三狻猊，
Cảm quyết khởi bất dữ chi tề.,敢決豈不與之齊。
"Kinh Nam Nhuế công đắc tướng quân,",荊南芮公得將軍，
Diệc như giác ưng há tường vân.,亦如角鷹下翔雲。
"Ác điểu phi phi trác kim ốc,",惡鳥飛飛啄金屋，
An đắc nhĩ bối khai kỳ quần.,安得爾輩開其群，
Khu xuất lục hợp kiêu loan phân.,驅出六合梟鸞分。
