vi,ch
"Hữu cú vô cú,",有句無句，
Đằng khô thụ đảo.,藤枯樹倒。
"Kỷ cá nạp tăng,",幾個衲僧，
"Chàng đầu hạp não,",撞頭嗑腦。
"Hữu cú vô cú,",有句無句，
Thể lộ kim phong.,體露金風。
Căng già sa số.,兢伽沙數，
Phạm nhẫn thương phong.,犯刃傷鋒。
Hữu cú vô cú,有句無句，
Lập tông lập chỉ.,立宗立旨。
"Đả ngoã toàn quy,",打瓦鑽龜，
Đăng sơn thiệp thuỷ.,登山涉水。
"Hữu cú vô cú,",有句無句，
Phi hữu phi vô.,非有非無。
"Khắc chu cầu kiếm,",刻舟求劍，
Sách ký án đồ.,索驥按圖。
"Hữu cú vô cú,",有句無句，
Hỗ bất hồi hỗ.,互不回互。
"Lạp tuyết hài hoa,",笠雪鞋花，
Thủ chu đãi thố.,守株待兔。
"Hữu cú vô cú,",有句無句，
Tự cổ tự kim.,自古自今。
"Chấp chỉ vong nguyệt,",執指忘月，
Bình địa lục trầm.,平地陸沉。
"Hữu cú vô cú,",有句無句，
Như thị như thị.,如是如是。
"Bát tự đả khai,",八字打開，
Toàn vô ba tị.,全無巴鼻。
"Hữu cú vô cú,",有句無句，
Cố tả cố hữu.,顧左顧右。
"A thích thích địa,",阿刺刺地，
Náo quát quát địa.,鬧聒聒地。
"Hữu cú vô cú,",有句無句，
Điêu điêu đát đát.,忉忉怛怛。
"Tiệt đoạn cát đằng,",截斷葛藤，
Bỉ thử khoái hoạt.,彼此快活。
