vi,ch
"Trắc văn âm sơn Hồ nhi ngữ,",側聞陰山胡兒語，
Tây đầu Nhiệt Hải thuỷ như chử.,西頭熱海水如煮。
"Hải thượng chúng điểu bất cảm phi,",海上眾鳥不敢飛，
Trung hữu lý ngư trường thả phì.,中有鯉魚長且肥。
"Ngạn bàng thanh thảo thường bất hiết,",岸旁青草常不歇，
Không trung bạch tuyết toàn minh diệt.,空中白雪旋明滅。
"Chưng sa luyện thạch nhiên lỗ vân,",蒸沙煉石燃虜雲，
Phí lãng viêm ba tiên Hán nguyệt.,沸浪炎波煎漢月。
"Âm hoả tiềm thiêu thiên địa lô,",陰火潛燒天地爐，
Hà sự thiên hồng tây nhất ngung?,何事偏烘西一隅？
"Thế thôn nguyệt quật xâm Thái Bạch,",勢吞月窟侵太白，
Khí liên xích pha thông Thiền Vu.,氣連赤坡通禪于。
"Tống quân nhất tuý tây sơn quách,",送君一醉西山郭，
Chính kiến tịch dương hải biên lạc.,正見夕陽海邊落。
"Bách đài sương uy hàn bức nhân,",柏台霜威寒逼人，
Nhiệt Hải viêm khí vi chi đoạt.,熱海炎氣為之奪。
