vi,ch
"Lạc Dương tam nguyệt lê hoa phi,",洛陽三月梨花飛，
Tần địa hành nhân xuân ức quy.,秦地行人春憶歸。
"Dương tiên tẩu mã thành nam mạch,",揚鞭走馬城南陌，
Triêu phùng dịch sứ Tần Xuyên khách.,朝逢驛使秦川客。
"Dịch sứ tiền nhật phát Chương Đài,",驛使前日發章台，
Chuyển đạo Trường An xuân tảo lai.,轉道長安春早來。
"Đường lê cung trung yến sơ chí,",棠梨宮中燕初至，
Bồ Đào quán lý hoa chính khai.,葡萄館裏花正開。
"Niệm thử sứ nhân quy cánh tảo,",念此使人歸更早，
Tam nguyệt tiện đạt Trường An đạo.,三月便達長安道。
"Trường An đạo thượng xuân khả liên,",長安道上春可憐，
Dao phong đãng nhật Khúc Giang biên.,搖風蕩日曲江邊。
"Vạn hộ lâu đài lâm Vị thuỷ,",萬戶樓臺臨渭水，
Ngũ Lăng hoa liễu mãn Tần Xuyên.,五陵花柳滿秦川。
"Tần Xuyên hàn thực thịnh phồn hoa,",秦川寒食盛繁華，
Du tử xuân lai bất kiến gia.,遊子春來不見家。
"Đấu kê hạ đỗ trần sơ hợp,",鬥雞下杜塵初合，
Tẩu mã Chương Đài nhật bán tà.,走馬章台日半斜。
"Chương Đài đế thành xưng quý lý,",章台帝城稱貴裏，
Thanh lâu nhật vãn ca chung khỉ.,青樓日晚歌鐘起。
"Quý lý hào gia bạch mã kiêu,",貴裏豪家白馬驕，
Ngũ Lăng niên thiếu bất tương nhiêu.,五陵年少不相饒。
"Song song hiệp đàn lai Kim thị,",雙雙挾彈來金市，
Lưỡng lưỡng minh tiên thượng Vị kiều.,兩兩鳴鞭上渭橋。
"Vị Thành kiều đầu tửu tân thục,",渭城橋頭酒新熟，
Kim yên bạch mã thuỳ gia túc.,金鞍白馬誰家宿。
"Khả liên cẩm sắt tranh tì bà,",可憐錦瑟箏琵琶，
Ngọc hồ thanh tửu tựu xương gia.,玉壺清酒就倡家。
"Tiểu phụ xuân lai bất giải ta,",小婦春來不解嗟，
Kiều ca nhất khúc “Dương liễu hoa”.,嬌歌一曲楊柳花。
