vi,ch
"Kim niên canh đạo thục khổ trì,",今年粳稻熟苦遲，
Thứ kiến sương phong lai kỷ thì.,庶見霜風來幾時。
"Sương phong lai thì vũ như tả,",霜風來時雨如瀉，
Ba đầu xuất khuẩn liêm sinh y.,杷頭出菌鐮生衣。
"Nhãn khô lệ tận vũ bất tận,",眼枯淚盡雨不盡，
Nhẫn kiến hoàng tuệ ngoạ thanh nê.,忍見黃穗臥青泥。
"Mao thiêm nhất nguyệt lũng thượng túc,",茅苫一月隴上宿，
Thiên tình hoạch đạo tuỳ xa quy.,天晴穫稻隨車歸。
"Hãn lưu kiên trinh tải nhập thị,",汗流肩赬載入市，
Giá tiện khất dữ như khang tê.,價賤乞與如糠粞。
"Mại ngưu nạp thuế sách ốc xuy,",賣牛納稅拆屋炊，
Lự thiển bất cập minh niên cơ.,慮淺不及明年飢。
"Quan kim yêu tiền bất yêu mễ,",官今要錢不要米，
Tây bắc vạn lý chiêu khương nhi.,西北萬里招羌兒。
"Củng, Hoàng mãn triều nhân cánh khổ,",龔黃滿朝人更苦，
Bất tri khước tác hà bá phụ.,不知卻作河伯婦。
