vi,ch
"An Nam hữu sinh Nguyễn Thái Xung,",安南有生阮太沖，
Lệ thư quốc trung xứng tối công.,𨽻書國中稱最工。
"Kình như tinh binh sáo thiện vũ,",勁如精兵槊善舞，
Tật nhược khoái tượng cân thành phong.,疾若快匠斤成風。
"Lão phu trì tiết sứ tuyệt vực,",老夫持節使絶域，
Nhãn hôn đầu bạch thuỳ long chung.,眼昏頭白垂龍鍾。
"Trước thư hạ nhật sử chi tả,",著書暇日使之寫，
Nhất tiếu liêu túc thư tâm hung.,一笑聊足舒心胷。
"Tả thư thiết quan tự hán đại,",寫書設官自漢代，
Ta nhữ nãi tại viêm hoang trung.,嗟汝乃在炎荒中。
"Điều điều Lĩnh biểu sản đan lệ,",迢迢嶺表産丹茘，
Uất uất giản để sinh thanh tùng.,鬱鬱澗底生青松。
"Ngã hứng vị nhĩ tác trường cú,",我興為爾作長句，
Sinh khởi tái bái sinh xuân dung.,生起再拜生春容。
"Độc bất kiến: Quỳnh châu Khương sinh ngộ Tô tử,",獨不見、瓊州姜生遇蘇子，
Tính danh diệc khả truyền vô cùng.,姓名亦可傳無窮。
