vi,ch
"Thực vật chi trung trúc nan tả,",植物之中竹難寫，
Cổ kim tuy hoạ vô tự giả.,古今雖畫無似者。
"Tiêu lang há bút độc bức chân,",蕭郎下筆獨逼真，
Đan thanh dĩ lai duy nhất nhân.,丹青以來唯一人。
"Nhân hoạ trúc thân phì ủng thũng,",人畫竹身肥擁腫，
Tiêu hoạ hành sấu tiết tiết tủng.,蕭畫莖瘦節節竦。
"Nhân hoạ trúc tiêu tử nuy thuỳ,",人畫竹梢死羸垂，
Tiêu hoạ chi hoạt diệp diệp động.,蕭畫枝活葉葉動。
"Bất căn nhi sinh tòng ý sinh,",不根而生從意生，
Bất duẩn nhi thành do bút thành.,不筍而成由筆成。
"Dã đường thuỷ biên kỳ ngạn trắc,",野塘水邊碕岸側，
Sâm sâm lưỡng tùng thập ngũ hành.,森森兩叢十五莖。
"Thuyền quyên bất thất quân phấn thái,",嬋娟不失筠粉態，
Tiêu táp tận đắc phong yên tình.,蕭颯盡得風煙情。
"Cử đầu hốt khan bất tự hoạ,",舉頭忽看不似畫，
Đê nhĩ tĩnh thinh nghi hữu thanh.,低耳靜聽疑有聲。
"Tây tùng thất hành kính nhi kiện,",西叢七莖勁而健，
Tỉnh vấn Thiên Trúc tự tiền thạch thượng kiến.,省問天竺寺前石上見。
"Đông tùng bát hành sơ thả hàn,",東叢八莖疏且寒，
Ức tằng Tương phi miếu lý vũ trung khán.,憶曾湘妃廟裏雨中看。
"U tư viễn tứ thiểu nhân biệt,",幽姿遠思少人別，
Dữ quân tương cố không trường thán.,與君相顧空長嘆。
"Tiêu lang! Tiêu Lang! Lão khả tích,",蕭郎！蕭郎！老可惜，
Thủ đản nhãn hôn đầu tuyết sắc.,手顫眼昏頭雪色。
"Tự ngôn tiện thị tuyệt bút thì,",自言便是絕筆時，
Tòng kim thử trúc vưu nan đắc!,從今此竹尤難得！
