vi,ch
"Chung Nam tàn nguyệt quải thành đầu,",終南殘月掛城頭，
Hoa lạc kỳ đình thuỷ loạn lưu.,花落旗亭水亂流。
"Bất dụng phong tiền “Chiết dương liễu”,",不用風前折楊柳，
Tỳ bà đàn xuất Bá Lăng thu.,琵琶彈出灞陵秋。
"Thụ lý Hoàng Hà nhiễu tái trường,",樹裡黃河繞塞長，
Biên phong xuy giốc thuỷ mang mang.,邊風吹角水茫茫。
"Quan Tây lão tướng đầu như tuyết,",關西老將頭如雪，
Tuý ỷ cung đao thuyết chiến trường.,醉倚弓刀說戰場。
"Lãnh lạc đông phong vạn liễu ty,",冷落東風萬柳絲，
Tiêu Hồn kiều thượng lập đa thì.,銷魂橋上立多時。
"Tửu ngân lang tạ xuân sam thấp,",酒痕狼藉春衫濕，
Hưu xướng Hà Kham tuyệt diệu từ.,休唱何戡絕妙詞。
