vi,ch
"Đăng cổ thành hề tư cổ nhân,",登古城兮思古人，
Cảm hiền đạt hề đồng ai trần.,感賢達兮同埃塵。
"Vọng bình nguyên hề ký viễn mục,",望平原兮寄遠目，
Thán Cô Tô hề tụ my lộc.,歎姑蘇兮聚麋鹿。
"Hoàng Trì cao hội sự vị chung,",黃池高會事未終，
Thương hải hoành lưu nhân đãng phúc.,滄海橫流人蕩覆。
"Ngũ Viên sát thân thuỳ bất oan,",伍員殺身誰不冤，
Cánh khan mộ thụ như sở ngôn.,竟看墓樹如所言。
"Việt Vương thường đảm yên khả địch,",越王嘗膽安可敵，
Viễn thủ thạch điền hà sở ích.,遠取石田何所益。
"Nhất triêu không tạ hội kê nhân,",一朝空謝會稽人，
Vạn cổ do thương Dũng đông khách.,萬古猶傷甬東客。
"Thử ly ly hề thành pha đà,",黍離離兮城坡坨，
Ngưu dương tiễn hề mục thụ ca.,牛羊踐兮牧豎歌。
"Dã vô nhân hề thu thảo lục,",野無人兮秋草綠，
Viên vi khư hề cổ mộc đa.,園為墟兮古木多。
"Bạch dương tiêu tiêu bi cố kha,",白楊蕭蕭悲故柯，
Hoàng tước thu thu tranh vãn hoà.,黃雀啾啾爭晚禾。
"Hoang thiên đoạn hề thuỳ trùng quá,",荒阡斷兮誰重過，
Cô chu thệ hề sầu nhược hà.,孤舟逝兮愁若何。
"Thiên hàn nhật mộ giang phong lạc,",天寒日暮江楓落，
Diệp khứ từ phong thuỷ tự ba.,葉去辭風水自波。
