vi,ch
"Chinh phụ lâm hành hiểu trang bạc,",征婦臨行曉妝薄，
Thượng đường từ cô song lệ lạc.,上堂辭姑雙淚落。
"Hàm tình dục tố khốc thanh trường,",含情欲訴哭聲長，
Nhất đoạn thê lương động lâm hác.,一段悽涼動林壑。
"Tòng phu bất từ hành lộ tu,",從夫不辭行路羞，
"Phụ khứ, thuỳ vi dưỡng cô mưu.",婦去誰為養姑謀。
"Phụ nhân tại quân cổ sở kỵ,",婦人在軍古所忌，
Kim nhật triệu mộ như truy tù.,今日召募如追囚。
"Thập niên phụ cô cộng cam khổ,",十年婦姑共甘苦，
Nhất thất đảo huyền không tứ cố.,一室倒懸空四顧。
"Tiểu lang tảo một cánh vô nhân,",小郎早沒更無人，
Khước bả thần hôn thác lân phụ.,卻把晨昏托鄰婦。
"Tình tri tống nhi thị mai nhi,",情知送儿是埋儿，
Cô niên lão đại mạc khổ bi.,姑年老大莫苦悲。
"Vạn nhất quân trung phế cơ trữ,",萬一軍中廢机杼，
Giảm mễ hoán y đương ký quy.,減米換衣當寄歸。
"Tiểu kỳ khiếu hô thôi tảo biệt,",小旗叫呼催早別，
Xuất môn tiện thành thiên lý cách.,出門便成千里隔。
"Kim dạ bất văn hoán phụ thanh,",今夜不聞喚婦聲，
Sầu tâm cộng quải thiên biên nguyệt.,愁心共挂天邊月。
