vi,ch
"Tứ hải thập niên bất giải binh,",四海十年不解兵，
Khuyển nhung dã phục lâm Hàm kinh.,犬戎也復臨咸京。
"Thất đạo phi quan xuất Tương Dã,",失道非關出襄野，
Dương tiên hốt thị quá Hồ Thành.,揚鞭忽是過湖城。
"Sài lang tái lộ nhân đoạn tuyệt,",豺狼塞路人斷絕，
Phong hoả chiếu dạ thi túng hoành.,烽火照夜尸縱橫。
"Thiên tử diệc ưng yếm bôn tẩu,",天子亦應厭奔走，
Quần công cố hợp tứ thăng bình.,群公固合思昇平。
"Đãn khủng tru cầu bất cải triệt,",但恐誅求不改轍，
Văn đạo bế nghiệt năng toàn sinh.,聞道嬖孽能全生。
"Giang biên lão ông thác liệu sự,",江邊老翁錯料事，
Nhãn ám bất kiến phong trần thanh.,眼暗不見風塵清。
