vi,ch
"Bắc phong quyển địa bạch thảo chiết,",北風捲地白草折，
Hồ thiên bát nguyệt tức phi tuyết.,胡天八月即飛雪；
"Hốt như nhất dạ xuân phong lai,",忽如一夜春風來，
Thiên thụ vạn thụ lê hoa khai.,千樹萬樹梨花開。
"Tán nhập châu liêm thấp la mạc,",散入珠簾濕羅幕，
Hồ cừu bất noãn cẩm khâm bạc.,狐裘不煖錦衾薄。
"Tướng quân giác cung bất đắc khống,",將軍角弓不得控，
Đô hộ thiết y lãnh do trước.,都護鐵衣冷猶著。
"Hãn hải lan can bách trượng băng,",瀚海闌干百丈冰，
Sầu vân thảm đạm vạn lý ngưng.,愁雲黲淡萬里凝。
"Trung quân trí tửu ẩm quy khách,",中軍置酒飲歸客，
Hồ cầm tỳ bà dữ Khương địch.,胡琴琵琶與羌笛。
"Phân phân mộ tuyết hạ viên môn,",紛紛暮雪下轅門，
Phong xế hồng kỳ đống bất phiên.,風掣紅旗凍不翻。
"Luân Đài đông môn tống quân khứ,",輪臺東門送君去，
Khứ thời tuyết mãn Thiên San lộ.,去時雪滿天山路；
"Sơn hồi lộ chuyển bất kiến quân,",山迴路轉不見君，
Tuyết thượng không lưu mã hành xứ.,雪上空留馬行處。
