vi,ch
"Tiền niên khoái kình Đông Hải thượng,",前年膾鯨東海上，
Bạch lãng như sơn ký hào tráng.,白浪如山寄豪壯。
"Khứ niên xạ hổ Nam Sơn thu,",去年射虎南山秋，
Dạ quy cấp tuyết mãn điêu cừu.,夜歸急雪滿貂裘。
"Kim niên tồi đồi tối kham tiếu,",今年摧頹最堪笑，
Hoa phát thương nhan tu tự chiếu.,華發蒼顏羞自照。
"Thuỳ tri đắc tửu thượng năng cuồng,",誰知得酒尚能狂，
Thoát mạo hướng nhân thời đại khiếu.,脫帽向人時大叫。
"Nghịch Hồ vị diệt tâm vị bình,",逆胡未滅心未平，
Cô kiếm sàng đầu khanh hữu thanh.,孤劍床頭鏗有聲。
"Phá dịch mộng hồi đăng dục tử,",破驛夢回燈欲死，
Đả song phong vũ chính tam canh.,打窗風雨正三更。
