vi,ch
"Thành Đô mãnh tướng hữu Hoa khanh,",成都猛將有花卿，
Học ngữ tiểu nhi tri tính danh.,學語小兒知姓名。
"Dụng như khoái cốt phong hoả sinh,",用如快鶻風火生，
Kiến tặc duy đa thân thuỷ khinh.,見賊惟多身始輕。
"Miên châu phó sứ trước giá hoàng,",綿州副使著柘黃，
Ngã khanh tảo trừ tức nhật bình.,我卿掃除即日平。
"Tử Chương độc lâu huyết mô hồ,",子章髑髏血模糊，
Thủ đề trịch hoàn Thôi đại phu.,手提擲還崔大夫。
"Lý hầu trùng hữu thử tiết độ,",李侯重有此節度，
Nhân đạo ngã khanh tuyệt thế vô.,人道我卿絕世無。
"Ký xưng tuyệt thế vô,",既稱絕世無，
Thiên tử hà bất hoán thủ thủ kinh đô.,天子何不喚取守京都。
