vi,ch
"Lưỡng chu các,",兩朱閣，
Nam bắc tương đối khởi.,南北相對起。
Tá vấn hà nhân gia?,借問何人家？
Trinh Nguyên song đế tử.,貞元雙帝子。
"Đế tử xuy tiêu song đắc tiên,",帝子吹簫雙得仙，
Ngũ vân phiêu phiêu phi thướng thiên.,五雲飄飄飛上天。
"Đệ trạch đình đài bất tương khứ,",第宅亭台不將去，
Hoá vi Phật tự tại nhân gian.,化為佛寺在人間。
"Trang các kỹ lâu hà tịch tĩnh,",妝閣妓樓何寂靜，
Liễu tự vô yêu trì tự kính.,柳似無腰池似鏡。
"Hoa lạc hoàng hôn tiễu tiễu thời,",花落黃昏悄悄時，
Bất văn cổ xuy văn chung khánh.,不聞鼓吹聞鍾磬。
"Tự môn sắc bảng kim tự thư,",寺門敕榜金字書，
Ni viện Phật đình khoan hữu dư.,尼院佛庭寬有餘。
"Thanh đài minh nguyệt đa nhàn địa,",青苔明月多閑地，
Tỉ ốc tề dân vô xứ cư.,比屋齊民無處居。
"Ức tạc Bình Dương trạch sơ trí,",憶昨平陽宅初置，
Bính thôn bình nhân kỷ gia địa.,並吞平人幾家地。
"Tiên khứ song song tác Phạm cung,",仙去雙雙作梵宮，
Tiệm khủng nhân gia hoá vi tự.,漸恐人家化為寺。
