vi,ch
"Ngã tích học thi vị hữu đắc,",我昔學詩未有得，
Tàn dư vị miễn tòng nhân khất.,殘余未免從人乞。
"Lực sàn khí nỗi tâm tự tri,",力孱氣餒心自知，
Vọng thủ hư danh hữu tàm sắc.,妄取虛名有慚色。
"Tứ thập tòng nhung trú Nam Trịnh,",四十從戎駐南鄭，
Hàm yến quân trung dạ liên nhật.,酣宴軍中夜連日。
"Đả cầu trúc trường nhất thiên bộ,",打球筑場一千步，
Duyệt mã liệt cứu tam vạn thất.,閱馬列廄三萬匹。
"Hoa đăng túng bác thanh mãn lâu,",華燈縱博聲滿樓，
Bảo thoa diễm vũ quang chiếu tịch.,寶釵艷舞光照席。
"Tỳ bà huyền cấp băng bạo loạn,",琵琶弦急冰雹亂，
Yết cổ thủ quân phong vũ tật.,羯鼓手勻風雨疾。
"Thi gia tam muội hốt kiến tiền,",詩家三昧忽見前，
Khuất Giả tại nhãn nguyên lịch lịch.,屈賈在眼元歷歷。
"Thiên cơ vân cẩm dụng tại ngã,",天機雲錦用在我，
Tiễn tài diệu xứ phi đao xích.,剪裁妙處非刀尺。
"Thế gian tài kiệt cố bất phạp,",世間才杰固不乏，
Thu hào vị hợp thiên địa cách.,秋毫未合天地隔。
"Phóng Ông lão tử hà túc luân,",放翁老死何足論，
Quảng Lăng tán tuyệt hoàn kham tích.,廣陵散絕還堪惜。
