vi,ch
"Giáp trung trượng phu tuyệt khinh tử,",峽中丈夫絕輕死，
Thiểu tại công môn đa tại thuỷ.,少在公門多在水。
"Phú hào hữu tiền giá đại khả,",富豪有錢駕大舸，
Bần cùng thủ cấp hành điệp tử.,貧窮取給行艓子。
"Tiểu nhi học vấn chỉ ""Luận ngữ"",",小兒學問止論語，
Đại nhi kết thúc tuỳ thương lữ.,大兒結束隨商旅。
"Y phàm trắc đà nhập ba đào,",欹帆側柁入波濤，
Phiết tuyền sao phần vô hiểm trở.,撇漩捎濆無險阻。
"Triêu phát Bạch Đế mộ Giang Lăng,",朝發白帝暮江陵，
Khoảnh lai mục kích tín hữu chinh.,頃來目擊信有征。
"Cù Đường mạn thiên Hổ Tu nộ,",瞿塘漫天虎鬚怒，
Quy Châu trường niên hành tối năng.,歸州長年行最能。
"Thử hương chi nhân khí lượng trách,",此鄉之人氣量窄，
Ngộ cạnh nam phong sơ bắc khách.,誤競南風疏北客。
"Nhược đạo thổ vô anh tuấn tài,",若道土無英俊才，
Hà đắc sơn hữu Khuất Nguyên trạch.,何得山有屈原宅。
