vi,ch
"Ngưỡng chiêm duy mạc,",仰瞻帷幕，
Phủ sát kỷ diên.,俯察几筵。
"Kỳ vật như cố,",其物如故，
Kỳ nhân bất tồn.,其人不存。
"Thần linh thúc hốt,",神靈倏忽，
Khí ngã hà thiên.,棄我遐遷。
"Mỹ chiêm mỹ thị,",靡瞻靡恃，
Khấp thế liên liên.,泣涕漣漣。
"U u du lộc,",呦呦遊鹿，
Thảo thảo minh nghê.,草草鳴麑。
"Phiên phiên phi điểu,",翩翩飛鳥，
Hiệp tử sào chi.,挾子巢枝。
"Ngã độc cô quỳnh,",我獨孤煢，
Hoài thử bách ly.,懷此百離。
"Ưu tâm khổng cứu,",憂心孔疚，
Mạc ngã năng tri.,莫我能知。
Nhân diệc hữu ngôn:,人亦有言：
“Ưu linh nhân lão.”,「憂令人老。」
"Ta ngã bạch phát,",嗟我白髮，
Sinh nhất hà tảo?,生一何蚤？
"Thường ngâm vĩnh thán,",常吟永嘆，
Hoài ngã thánh khảo.,懷我聖考。
"Viết “Nhân giả thọ”,",曰「仁者壽」，
Hồ bất thị bảo?,胡不是保？
