vi,ch
"Thiên mê quan, địa mê hộ,",天迷關，地迷戶，
"Đông long bạch nhật, tây long vũ.",東龍白日西龍雨。
"Chàng chung ẩm tửu sầu hải phiên,",撞鐘飲酒愁海翻，
Bích hoả xuy sào song trát dũ.,碧火吹巢雙猰貐。
"Chiếu thiên vạn cổ vô nhị ô,",照天萬古無二烏，
Tàn tinh phá nguyệt khai thiên dư.,殘星破月開天余。
"Toạ trung hữu khách thiên tử khí,",座中有客天子氣，
Tả cổ thất thập nhị tử liên minh châu.,左股七十二子連明珠。
"Quân thanh thập vạn chấn ốc ngoã,",軍聲十萬振屋瓦，
Bạt kiếm đương nhân diện như giả.,拔劍當人面如赭。
"Tướng quân hạ mã lực bạt san,",將軍下馬力拔山，
Khí quyển Hoàng Hà tửu trung tả.,氣卷黃河酒中瀉。
"Kiếm quang thượng thiên hàn tuệ tàn,",劍光上天寒彗殘，
Minh triêu hoạch địa phân hà san.,明朝畫地分河山。
"Tướng quân hô long tương khách tẩu,",將軍呼龍將客走，
Thạch phá thanh thiên chàng ngọc đẩu.,石破青天撞玉斗。
