vi,ch
"Tần vương kỵ hổ du bát cực,",秦王騎虎遊八极，
Kiếm quang chiếu không thiên tự bích.,劍光照空天自碧。
"Hy Hoà xao nhật pha ly thanh,",羲和敲日玻璃聲，
Kiếp khôi phi tận cổ kim bình.,劫灰飛盡古今平。
"Long đầu tả tửu yêu tửu tinh,",龍頭瀉酒邀酒星，
Kim tào tỳ bà dạ trành trành.,金槽琵琶夜棖棖。
"Động Đình vũ cước lai xuy sinh,",洞庭雨腳來吹笙，
Tửu hàm hát nguyệt sử đảo hành.,酒酣喝月使倒行。
"Ngân vân trất trất dao điện minh,",銀雲櫛櫛瑤殿明，
Cung môn chưởng sự báo nhất canh.,宮門掌事報一更。
"Hoa lâu ngọc phượng thanh kiều trữ,",花樓玉鳳聲嬌佇，
"Hải tiêu hồng văn hương tiên thanh,",海綃紅文香淺清，
Hoàng nga điệt vũ thiên niên quang.,黃鵝跌舞千年觥。
"Tiên nhân chúc thụ chá yên khinh,",仙人燭樹蜡煙輕，
Thanh cầm tuý nhãn lệ hoằng hoằng.,清琴醉眼淚泓泓。
