vi,ch
"Ngã gia Liêu Thuỷ Ninh Khê tân,",我家遼水寧溪濱，
"Điều, thường, chiên, vị, sắc thắng ngân.",鰷鱨鱣鮪色勝銀。
"Thanh thần tiệt giang bố cự võng,",清晨截江布鉅網，
Tuyết phi ngọc toái thù phân phân.,雪飛玉碎殊紛紛。
"Khoái phường trinh vĩ phanh cẩm lân,",鱠魴赬尾烹錦鱗，
Hứng trung bất sổ thu phong thuần.,興中不數秋風蒪。
"Tự tòng lữ thực kinh hoa xuân,",自從旅食京花春，
Đa niên nhuyễn đạp Đông Hoa trần.,多年軟沓東華塵。
"Quan sàm hương vị lũ nhập mộng,",官饞鄉味屢入夢，
Thanh y đường hạ tư thuỳ mân.,清漪堂下思垂緡。
"Thi vương tối thị hiếu sự giả,",詩王最是好事者，
Bất tích thiên kim cấu danh hoạ.,不惜千金購名畫。
"Kỷ đa diệu bút trữ hoa hiên,",幾多妙筆貯華軒，
Đằng Vương giáp điệp Giang Đô mã.,滕王蛺蝶江都馬。
"Thị thuỳ hoạ sử xảo vi thử,",是誰畫史巧為此，
Vạn khoảnh ba đào ám khuynh tả.,萬頃波濤暗傾瀉。
"Sâm si hạnh thái tương cấu mạt,",參差荇菜相呴沫，
Dương dương vi vi chính phồn khoả.,洋洋圍圍正繁夥。
"Thiên đầu tranh hướng xích lân công,",千頭爭向赤鱗公，
Vi vật do giải tương tôn sùng.,微物猶解相尊崇。
"Chúng tinh lạc lạc tận củng bắc,",眾星落落盡拱北，
Vạn thuỷ cổn cổn giai triều đông.,萬水滾滾皆朝東。
"Chủ nhân bất thị tâm khâu hác,",主人不是心丘壑，
Viễn chướng bình lâm diệc đồ tác.,遠嶂平林亦徒作。
"Nguyện ngôn thập tập tàng thử đồ,",願言什襲藏此圖，
Hội kiến nhất đường ngư thuỷ lạc.,會見一堂魚水樂。
