vi,ch
"Đại Đê nhị tam nguyệt,",大堤二三月，
Thuỳ dương thiên vạn bả.,垂楊千萬把。
"Thượng chi kham tàng áp,",上枝堪藏鴨，
Hạ căn kham hệ mã.,下根堪繫馬。
"Tàng nha hệ mã vãn lâu biên,",藏鴉繫馬晚樓邊，
Trầm thuỷ hương phần thanh tửu truyền.,沈水香焚清酒傳。
"Hồng hà uyển uyển ca thanh ngoại,",紅霞宛宛歌聲外，
Hán thuỷ đoàn đoàn minh kính tiền.,漢水團團明鏡前。
"Dạ ẩm triêu miên hoan bất túc,",夜飲朝眠歡不足，
Thu khứ xuân lai phương thảo lục.,秋去春來芳草綠。
"Chỉ tri lang thác tận hoàng kim,",只知郎橐盡黃金，
Bất đạo thiếp nhan tiêu bạch ngọc.,不道妾顏銷白玉。
"Giang hữu phương châu ngạn hữu sa,",江有方州岸有沙，
Nha tường ty lãm các thiên nha.,牙檣絲纜各天涯。
"Thoa hoành hoa khốn kinh tàn mộng,",釵橫花困驚殘夢，
Bất tín hành nhân bất ức gia.,不信行人不憶家。
