vi,ch
"Tham quân đãn hữu tứ lập bích,",參軍但有四立壁，
Sơ vô lâm giang thiên mộc nô.,初無臨江千木奴。
"Bạch đầu bất thị chiết yêu cụ,",白頭不是折腰具，
Đồng mạo tông hài xưng lão phu.,桐帽棕鞋稱老夫。
"Thương giang âu lộ dã tâm tính,",滄江鷗鷺野心性，
Âm hác hổ báo hùng nha tu.,陰壑虎豹雄牙須。
"Túc sương tác cừu sơ phục tại,",鷫鷞作裘初服在，
Tinh huyết nhiễm đái lân ông vô.,猩血染帶憐翁無。
"Tạc lai đỗ quyên khuyến quy khứ,",昨來杜鵑勸歸去，
Cánh đãi bả tửu thính đề hồ.,更待把酒听提壺。
"Đương kim nhân tài bất phạp sử,",當今人材不乏使，
Thiên thượng nhị lão tu nhân phù.,天上二老須人扶。
"Nhi vô bão phạn thượng cần thư,",儿無飽飯尚勤書，
Phụ vô phức côn thả trước nhu.,婦無複褌且著襦。
"Xã ủng khả lộc khê khả ngư,",社瓮可漉溪可漁，
Cánh vấn hoàng kê phì dữ cù.,更問黃雞肥與癯。
"Lâm gian tuý trước nhân phạt mộc,",林間醉著人伐木，
Do mộng quan hạ văn truy hô.,猶夢官下聞追呼。
"Vạn đinh vi yêu mạc ái cừ,",萬釘圍腰莫愛渠，
Phú quý an năng nhuận hoàng lô.,富貴安能潤黃壚。
