vi,ch
"Thiên thượng phù vân như bạch y,",天上浮雲如白衣，
Tư tu cải biến như thương cẩu.,斯須改變如蒼狗。
"Cổ vãng kim lai cộng nhất thì,",古往今來共一時，
Nhân sinh vạn sự vô bất hữu.,人生萬事無不有。
"Cận giả quyết nhãn khứ kỳ phu,",近者抉眼去其夫，
Hà Đông nữ nhi thân tính Liễu.,河東女兒身姓柳。
"Trượng phu chính sắc động dẫn kinh,",丈夫正色動引經，
Phong Thành khách tử Vương Quý Hữu.,酆城客子王季友。
"Quần thư vạn quyển thường ám tụng,",群書萬卷常暗誦，
Hiếu kinh nhất thông khán tại thủ.,孝經一通看在手。
"Bần cùng lão sấu gia mại kịch,",貧窮老瘦家賣屐，
Hảo sự tựu chi vi huề tửu.,好事就之為攜酒。
"Dự Chương thái thú cao đế tôn,",豫章太守高帝孫，
Dẫn vi tân khách kính pha cửu.,引為賓客敬頗久。
"Văn đạo tam niên vị tằng ngữ,",聞道三年未曾語，
Tiểu tâm khủng cụ bế kỳ khẩu.,小心恐懼閉其口。
"Thái thú đắc chi cánh bất nghi,",太守得之更不疑，
Nhân sinh phản phục khán diệc xú.,人生反復看亦醜。
"Minh nguyệt vô hà khởi dung dị,",明月無瑕豈容易，
Tử khí uất uất do xung đấu.,紫氣鬱鬱猶沖鬥。
"Thì nguy khả trượng chân hào tuấn,",時危可仗真豪俊，
Nhị nhân đắc trí quân trắc phủ.,二人得置君側否。
"Thái thú khoảnh giả lĩnh Sơn Nam,",太守頃者領山南，
Bang nhân tứ chi tỷ phụ mẫu.,邦人思之比父母。
"Vương sinh tảo tằng bái nhan sắc,",王生早曾拜顏色，
Cao sơn chi ngoại giai bồi lũ.,高山之外皆培塿。
"Dụng vi hy hoà thiên vi thành,",用為羲和天為成，
Dụng bình thuỷ thổ địa vi hậu.,用平水土地為厚。
"Vương dã luận đạo trở giang hồ,",王也論道阻江湖，
Lý dã thừa nghi khoáng tiền hậu.,李也丞疑曠前後。
"Tử vi tinh thần chung bất diệt,",死為星辰終不滅，
Trí quân nghiêu thuấn yên khẳng hủ.,致君堯舜焉肯朽。
"Ngô bối lục lục bão phạn hành,",吾輩碌碌飽飯行，
Phong hậu lực mục trường hồi thủ.,風後力牧長回首。
