vi,ch
"Thả xướng hoàng kê thôi hiểu ca,",且唱黃雞催曉歌，
Thỉnh quân tiễn thủ thanh trà chước.,請君剪取清茶酌。
"Tối quang sơ ái xuân minh minh,",最光初靄春冥冥，
Dư tỉnh tiệm giải khách dục tác.,餘醒漸解客欲作。
"Đào xã phong lưu các tự hào,",陶社風流各自豪，
Tu dẫn kim bôi khuynh cẩm thác.,須引金杯傾錦橐。
Trường Canh khứ hậu thuỳ phục luân?,長庚去後誰復淪？
Hắc dạ trầm trầm hàn tác tác.,黑夜沈沈寒索索。
"Độc đắc tầm quân nhập tuý hương,",獨得尋君入醉鄉，
Ngâm mai thi hứng mãn đông các.,吟梅詩興滿東閣。
"Xuân lai hoa thụ thái tự kiêu,",春來花樹太自驕，
Thanh nguyệt đình đình chiếu ly lạc.,清月亭亭照籬落。
"Thi cảnh thi tình chính vị lan,",詩景詩情正未闌，
Cốt lão khí thanh thần ảm mạc.,骨老氣清神黯漠。
"Chỉ khủng cao ngâm hạo mạc thu,",祇恐高吟浩莫收，
Phong khởi đảo xuy hoa lực bạc.,風起倒吹花力薄。
"Thả đãi trùng lai hứng hựu sinh,",且待重來興又生，
Dữ quân thưởng tận viên trung lạc.,與君賞盡園中樂。
