vi,ch
"Nhân đạo càn khôn trường bất lão,",人道乾坤長不老，
Hoặc vị thuấn tức duy càn khôn.,或謂瞬息惟乾坤。
"Bạch y thương cẩu khoảnh khắc dị,",白衣蒼狗頃刻異，
Thương hải tang điền biến cố phồn.,滄海桑田變故繁。
"Nhân đạo nhật nguyệt trường vô cùng,",人道日月長無窮，
Ngã vị thúc hốt duy nhật nguyệt.,我謂倏忽惟日月。
"Chu thập nhị thần thăng hựu trầm,",周十二辰升又沉，
Kinh tam ngũ hậu doanh phục khuyết.,經三五候盈復缺。
"Nhân đạo nhân sinh như phù du,",人道人生如蜉蝣，
Ngã vị phù du nãi chí thọ.,我謂蜉蝣乃至壽。
"Phù du ký sinh bàng bạc gian,",蜉蝣寄生磅礡間，
Vi khu thảng dương cánh triêu mộ.,微軀徜徉竟朝暮。
"Triêu mộ chi gian biến thái đa,",朝暮之間變態多，
Càn khôn nhật nguyệt tằng kỷ hà.,乾坤日月曾幾何。
"Phàm vật hữu hình đô hữu hoại,",凡物有形都有壊，
Bách niên chỉ thị khích câu qua.,百年只是隙駒過。
"Bất tu khổ tiết bất khả trinh,",不須苦節不可貞，
Khổ tiết hà tằng trường bất tử.,苦節何曾長不死。
"Thiên hạ hà lự phục hà tư,",天下何慮復何思，
Yếu chi nhân sinh quý thích chí.,要之人生貴適志。
"Sinh bình ngô chí như hoạch thân,",生平吾志如獲伸，
Thị phi thử ngoại thế vô nhân.,是非此外世無人。
"Vô khả diệc vô vô bất khả,",無可亦無無不可，
Tính bất tự tri nhân thị thân.,併不自知人是身。
"Dục tiếu tiện tiếu, ngôn tiện ngôn,",欲笑便笑言便言，
"Dục ca tiện ca, khốc tiện khốc.",欲歌便歌哭便哭。
"Không không như dã xích tử tâm,",空空如也赤子心，
Thử tâm bất vi thằng mặc thúc.,此心不為繩墨束。
"Bàng nhân bất thức tiếu ngã điên,",旁人不識笑我癲，
Tự ngã thiên quân độc thái nhiên.,自我天君獨泰然。
"Minh nhật cánh hướng bàng nhân ngữ,",明日更向旁人語，
"Nhĩ đích trần ai, ngã đích tiên.",爾的塵埃我的僊。
