vi,ch
"Thành thượng nguy lâu cao phiếu diểu,",城上危樓高縹緲，
Thành hạ trừng giang phục tương nhiễu.,城下澄江復相繞。
"Hữu thời dạng ảnh nhập trung lưu,",有時漾影入中流，
Phủ khán du ngư ngưỡng phi điểu.,俯看游魚仰飛鳥。
"Cận lâu đa thiểu vị hành chu,",近樓多少未行舟，
Mãn giang lạc hoa sái đinh châu.,滿江落花灑汀洲。
"Nhân đồng giang hiệp bất phạ lãng,",人同江狎不怕浪，
Đăng lâu đối tửu đàn không hầu.,登樓對酒彈箜篌。
"Đại Biệt sơn đầu bạch vân khởi,",大別山頭白雲起，
Kim Khẩu độ biên vũ như tẩy.,金口渡邊雨如洗。
"Bán câu tân nguyệt thướng cô thành,",半鉤新月上孤城，
Hoàn chiếu cao lâu dữ giang thuỷ.,還照高樓與江水。
"Tình giang y cựu tả Tầm Dương,",晴江依舊瀉潯陽，
Hoàng hạc vô do quy cố hương.,黃鶴無由歸故鄉。
"Nhất thanh ngọc địch khởi hà xứ,",一聲玉笛起何處，
Yến phác lan can hoa ảnh trường.,燕撲闌干花影長。
