vi,ch
"Nam Việt thái hậu Hàm Đan nữ,",南越太后邯鄲女，
Hạo xỉ minh mâu chiếu man thổ.,皓齒明眸照蠻土。
"San hô vy trướng tượng tác sàng,",珊瑚為帳象作牀，
Cẩm tản cao trương kích đồng cổ.,錦繖高張擊銅鼓。
"Thái Dịch trì nội hồng phù dung,",太液池內紅芙蓉，
Tự liên trích tại man yên trung.,自憐謫在蠻煙中。
"Bá Lăng cố nhân yểu vô háo,",灞陵故人杳無耗，
Thâm cung độc khán nam phi hồng.,深宮獨看南飛鴻。
"Tuỳ nhi tác đế tâm bất nguyện,",隨兒作帝心不願，
Duy nguyện tây triều Bá Lương điện.,惟願西朝柏梁殿。
"Mậu Lăng thiếu niên diệc khả nhân,",茂陵少年亦可人，
Khiển lai hải đảo lai tương kiến.,遣來海島來相見。
"Kim nghê dạ liệu long tiên hương,",金猊夜燎龍涎香，
Minh châu dạ chiếu quang hoàng hoàng.,明珠夜照光煌煌。
"Phiên ngu xuẩn điện cách vạn lý,",番禺蠢甸隔萬里，
Kim tịch đắc toại song uyên ương.,今夕得遂雙鴛鴦。
"Bạch thủ tương quân bội ngân ấn,",白首相君佩銀印，
Can qua dục khởi tiêu tường hấn.,干戈欲起蕭牆釁。
"Mạc ngôn nữ tử vô hùng tâm,",莫言女子無雄心，
Trí tửu cung trung tiềm kết trận.,置酒宮中潛結陣。
"Hán gia sứ giả noạ thả nhu,",漢家使者懦且柔，
Tiêm thủ dục tự thao sương mâu.,孅手欲自操霜矛。
"Hồ loan cánh lạc lão thân thủ,",狐鸞竟落老身手，
Khả liên không phấn Hàn Thiên Thu.,可憐空奮韓千秋。
"Lâu thuyền dao duệ sư tứ khởi,",樓船搖曳師四起，
Hoặc xuất Quế Dương hạ than thuỷ.,或出桂陽下灘水。
"Việt lang truy trảm Lữ gia đầu,",越郎追斬呂嘉頭，
Cửu quận đồng quy Hán thiên tử.,九郡同歸漢天子。
"Uý Đà phần thảo kỷ phiên thanh,",尉佗墳草幾番青，
(?) hoành ngọc tỷ sơ thung chân.,◆橫玉璽初從真。
"Đắc (?) khước vy Hàm Đan khuynh,",得◆卻為邯鄲傾，
Ngũ Dương giang liên Tương phố trúc.,五羊江連湘浦竹。
Kiểu hồn ưng bạn Tương phi khốc.,矯魂應伴湘妃哭。
