vi,ch
Quân bất kiến:,君不見：
"Hán gia công thần thướng Kỳ Lân,",漢家功臣上麒麟，
Khí mạo khởi thị tầm thường nhân.,氣貌豈是尋常人。
Hựu bất kiến:,又不見：
"Đường gia chư tướng đồ Lăng Yên,",唐家諸將圖凌煙，
Trường kiếm đại vũ liên điêu thiền.,長劍大羽聯貂蟬。
"Long chương chung phỉ trần tục trạng,",龍章終匪塵俗狀，
Hổ đầu nãi thị phong hầu tướng.,虎頭乃是封侯相。
"Ngã sinh sơn dã vô năng vi,",我生山野無能為，
"Học kiếm, học thư không phóng đãng.",學劍學書空放蕩。
"Lão lai hối tích nham huyệt cư,",老來晦跡岩穴居，
Mộng mị vị hình an khả mô.,夢寐未形安可模。
"Tạc nhật lãnh biểu động tư tu,",昨日冷飚動髭須，
Trụ trượng há sơn văn giá cô.,拄杖下山聞鷓鴣。
"Ô cân bán ngạn y lộ trửu,",烏巾半岸衣露肘，
Vong cơ hốt lạc đan thanh thủ.,忘机忽落丹青手。
"Khí thức khả đồng Sằn Dã phu,",器識可同莘野夫，
Cô cao sai nghĩ Bàn Khê tẩu.,孤高差擬蟠溪叟。
"Sơn ông dã lão tranh đạo chân,",山翁野老爭道真，
"Tùng hoàng tiết tháo, mai tinh thần.",松篁節操梅精神。
"Ngâm phong tiếu nguyệt ý tự tại,",吟風笑月意自在，
Chỉ khiếm lộc thỉ lai tương thân.,只欠鹿豕來相親。
"Giang Bắc, Giang Nam cạnh truyền tả,",江北江南競傳寫，
Chúc quân thán kỳ tài tận hạ.,祝君嘆其才盡下。
"Ngã lai đối diện bất thức ngã,",我來對面不識我，
"Hà giả thị chân, hà giả giả.",何者是真何者假。
"Chúc quân phóng bút nhất đại tiếu,",祝君放筆一大笑，
Bất tu lãm kính diệc tự tiểu.,不須覽鏡亦自小。
"Tương huề thả mãi sổ đấu tửu,",相攜且買數斗酒，
Toạ đối thanh sơn tứ khuynh đảo.,坐對青山恣傾倒。
"Minh triêu tửu tinh hô hạc quy,",明朝酒醒呼鶴歸，
Bạch vân mãn địa chi thảo phì.,白雲滿地芝草肥。
"Ngọc tiêu xuy lai vũ phi phi,",玉蕭吹來雨霏霏，
Kỳ hoa loạn điểm xuân phong y.,琪花亂點春風衣。
"Chúc quân hứa ngã lão cánh kỳ,",祝君許我老更奇，
Ngã lão tự giác đầu thuỳ ty.,我老自覺頭垂絲。
"Thời dữ bất thời hà dĩ vi,",時與不時何以為，
Tặng quân bạch tuyết mai hoa chi.,贈君白雪梅花枝。
